Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
#BTC,en,Makersmark99,"Wisconsin, USA","['nft', 'btc', 'coinbase']","@cryptohippo1111 $rari looks good .
Beaten down . Ready to Rise 
#nft #btc #coinbase",05/03/2022,0.24814814814814815,positive,0,2
#BTC,en,TojiDoji,,['btc'],"#btc

price is holding diagonal w/ bull divs on the daily time frame. close below cut longs.

think we'll do a fake out break up, retest downtrend diag. and resistance at 42000

don't think 37000 will hold on another retest https://t.co/qhvdZpnI3s",05/03/2022,-0.25,negative,0,0
#BTC,en,PinaWilbert1,"Lakewood, WA","['BTC', 'CRO', 'cryptocurrency', 'cryptotrading', 'ETH']",https://t.co/MeCEt7jfgS @DNC will be approving 33 billion dollars in Aid they already sent $13.5 billion. While Americans are struggling with inflation and high gas prices. Vote these idiots out! @POTUS one term only! #BTC #CRO #cryptocurrency #cryptotrading #ETH enough is enough,05/03/2022,-0.16799999999999998,negative,0,3
#BTC,en,CryptoBert1,Decentralised,"['BTC', 'Coinbase']","whale_alert

🚨 🚨 🚨 1,000 #BTC (38,378,665 USD) transferred from #Coinbase to unknown wallet https://t.co/Kurl0a9JM4

— Whale Alert (@whale_alert) May 2, 2022",05/03/2022,-0.1,negative,0,0
#BTC,en,NFTwelfare,everywhere,"['NFT', 'NFTs', 'NFTCommunity', 'NFTGiveaways', 'NFTCommumity', 'NFTartist', 'nftart', 'nftdrop', 'bitcoin', 'btc', 'bayc', 'Ethereum', 'Ukraine', 'opensea', 'babydoge']","#NFT #NFTs #NFTCommunity #NFTGiveaways #NFTCommumity #NFTartist #nftart #nftdrop #bitcoin #btc #bayc #Ethereum  #Ukraine #opensea #babydoge BAYC
https://t.co/WH1vWWn5JW
Drop your NFT ✍️🤓👀🔥🥸🇺🇦

Follow @NFTwelfare

 for thousands of pictures https://t.co/ktVqzH0ngN",05/03/2022,0.0,neutral,0,6
#BTC,en,cromwell_lester,,"['BTC', 'Velas', 'wagyuswap', 'bitcoin', 'ethereum', 'cryptocurrency', 'binance', 'shiba']",#BTC #Velas #wagyuswap #bitcoin #ethereum #cryptocurrency #binance #shiba LAST FTTR PRE-SALE STARTED.‼️LAST CHANCE📢…,05/03/2022,0.0,neutral,0,0
#BTC,en,teti60030613,,"['Bitcoin', 'BTC', 'LN', 'LightningNetwork', 'boltcoiner']","I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me e6bb5f52-462f-4a28-a59a-9954f2f4d9dd

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/qMc8isiHtN",05/03/2022,0.5,positive,0,0
#BTC,en,Matthew48048824,,"['shibgotchi', 'shibgotchiarmy', 'tamagotchi', 'shinja', 'shiba', 'shib', 'shibarmy', 'shibaswap', 'shibacommunity', 'shibnobi', 'ShibaDoge', 'cultarmy', 'eth', 'volt', 'luffy', 'btc', 'MRI']","@JonimanVV1 @_Lady_Crypto_ @SHiBGOTCHI Love shibgotchi, huge future for this project! #shibgotchi #shibgotchiarmy #tamagotchi #shinja #shiba #shib #shibarmy #shibaswap #shibacommunity #shibnobi #ShibaDoge $cult $QOM $KIBA #cultarmy $floki #eth #volt #luffy $volt #btc #MRI $MRI",05/03/2022,0.30000000000000004,positive,1,1
#BTC,en,NFTwelfare,everywhere,"['NFT', 'NFTs', 'NFTCommunity', 'NFTGiveaways', 'NFTCommumity', 'NFTartist', 'nftart', 'nftdrop', 'bitcoin', 'btc', 'bayc', 'Ethereum', 'Ukraine', 'opensea', 'babydoge']","#NFT #NFTs #NFTCommunity #NFTGiveaways #NFTCommumity #NFTartist #nftart #nftdrop #bitcoin #btc #bayc #Ethereum  #Ukraine #opensea #babydoge BAYC
https://t.co/WH1vWWn5JW
Drop your NFT ✍️🤓👀🔥🥸🇺🇦

Follow @NFTwelfare

 for thousands of pictures https://t.co/gpckcDvo1N",05/03/2022,0.0,neutral,0,4
#BTC,en,RixxTech,Def City,"['blockchain', 'crypto', 'cryptocurrency', 'kripto', 'kriptopara', 'trading', 'rixx', 'binance', 'bnb', 'bitcoin', 'btc', 'ethereum', 'eth']",4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/v55w4lZbYN,05/03/2022,0.5,positive,0,1
#BTC,en,wjgrun,New Jersey,"['Bitcoin', 'ETH', 'cryptocurrencies', 'BTC', 'Ethereum', 'doge', 'cryptocurrency', 'crypto', 'dogecoin', 'BNB']","#Bitcoin is now trading at ~ $38,500. Do you have any? Don't miss out! Buy a piece of it, #ETH and other #cryptocurrencies on Coinbase: https://t.co/pyNrJlYVje and BinanceUS:  https://t.co/q87omqe5NR

#BTC #Ethereum #doge #cryptocurrency #crypto #dogecoin #BNB",05/03/2022,-0.125,negative,0,2
#BTC,en,Robynn58837826,,"['btc', 'bitcoin', 'APE']","Any guess where #btc is heading? 30k or 50k?

$BTC #bitcoin #APE $ETH $ADA $LINK $MATIC $XRP $SHIB",05/03/2022,0.0,neutral,0,0
#BTC,en,zofejacobs,,"['BTC', 'ETH']","@WhaleEverything I just diversified my bag into two parts not quite long.
One is filled with #BTC/ $SYS/ #ETH and the other bag is full of $ALGO/ $MATIC/ $ADA. 

I've been thinking of beefing up some of my coins and taking out profits on some too.",05/03/2022,0.14375,positive,0,1
#BTC,en,NFTwelfare,everywhere,"['NFT', 'NFTs', 'NFTCommunity', 'NFTGiveaways', 'NFTCommumity', 'NFTartist', 'nftart', 'nftdrop', 'bitcoin', 'btc', 'bayc', 'Ethereum', 'Ukraine', 'opensea', 'babydoge']","#NFT #NFTs #NFTCommunity #NFTGiveaways #NFTCommumity #NFTartist #nftart #nftdrop #bitcoin #btc #bayc #Ethereum  #Ukraine #opensea #babydoge BAYC
https://t.co/WH1vWWn5JW
Drop your NFT ✍️🤓👀🔥🥸🇺🇦

Follow @NFTwelfare

 for thousands of pictures https://t.co/w08goRmfJ7",05/03/2022,0.0,neutral,0,2
#BTC,en,Bitcoin8News,,"['Bitcoin', 'BTC']","The $BTC price is at $38,518.85 right now.
🔴 Compared to the last tweet, the price has dropped by $33.79 (0.09%).
🟢 In the last 24 hours the price has increased by $58.84 (0.15%).

#Bitcoin #BTC https://t.co/0YbUQvKRFN",05/03/2022,0.09523809523809523,positive,0,1
#BTC,en,ileyacr,United States,"['Crypto', 'NFTCommunity', 'NFTs', 'pfpNFT', 'pfp', '3dart', '3dnft', '3dpfp', 'Ethereum', 'bitcoin', 'BTC', 'ETH', 'NewNFTProfilePic', 'BNBChain', 'BNB', 'blockchain']","Hi @TheBinanceNFT 

I'm holding https://t.co/ecPVpbXlic for sale!

Make good offer at @Undeveloped 

#Crypto #NFTCommunity #NFTs #pfpNFT #pfp #3dart #3dnft #3dpfp #Ethereum #bitcoin #BTC #ETH #NewNFTProfilePic $nft #BNBChain #BNB #blockchain",05/03/2022,0.7,positive,0,4
#BTC,en,AnonymousJYT,Anonymous headquarters,"['NFLDraft', 'nftphotography', 'NFTshill', 'BlueJays', 'BTC', 'dogs', 'doggy', 'doge', 'dogechain', 'JohnnyDeppVsAmberHeard', 'TwentyFiveTwentyOnefinale', 'ENHYPEN', 'Russia', 'UkraineRussiaWar', 'Ukraine', 'Ukraine️']","Just Cause 4 Physics are Nuts! 😂 | Just Cause 4 #NFLDraft #nftphotography  #NFTshill #BlueJays  #BTC  #dogs #doggy  #doge  #dogechain  #JohnnyDeppVsAmberHeard  #TwentyFiveTwentyOnefinale  #ENHYPEN #Russia #UkraineRussiaWar #Ukraine #Ukraine️

https://t.co/O9z2gUjAh1 https://t.co/QUc9LGGFLM",05/03/2022,0.0,neutral,2,3
#BTC,en,Rivian93818469,,"['btc', 'bitcoin', 'ethereum']","Any guess where #btc is heading? 30k or 50k?

$BTC #bitcoin $APE $ETH #ethereum",05/03/2022,0.0,neutral,0,0
#BTC,en,ElliottForecast,Miami/London,"['elliottwave', 'ondaselliott', 'cryptotrading', 'cryptocurrency', 'bitcoin', 'btc']",$BTCUSD as we stay below 40413 we favored more downside in the crypto. We need to break the last low as wave ((i)) to confirm the view. #elliottwave #ondaselliott #cryptotrading #cryptocurrency #bitcoin #btc https://t.co/3t4icgeJsu,05/03/2022,0.325,positive,1,2
#BTC,en,NFTwelfare,everywhere,"['NFT', 'NFTs', 'NFTCommunity', 'NFTGiveaways', 'NFTCommumity', 'NFTartist', 'nftart', 'nftdrop', 'bitcoin', 'btc', 'bayc', 'Ethereum', 'Ukraine', 'opensea', 'babydoge']","#NFT #NFTs #NFTCommunity #NFTGiveaways #NFTCommumity #NFTartist #nftart #nftdrop #bitcoin #btc #bayc #Ethereum  #Ukraine #opensea #babydoge BAYC
https://t.co/WH1vWWn5JW
Drop your NFT ✍️🤓👀🔥🥸🇺🇦

Follow @NFTwelfare

 for thousands of pictures https://t.co/cMYnihVLOu",05/03/2022,0.0,neutral,1,9
#BTC,en,_Iam_AI_,SFBay,"['Bitcoin', 'btc']","@greg16676935420 We can round it to 42.069. would that work?

#Bitcoin #btc",05/03/2022,-0.2,negative,0,1
