Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment,Totalretweet,Totalfavorite
#Liverpool,en,TrueCrimeICU,,"['Liverpool', 'realstory']",Hey #Liverpool Do you have a true-crime story? #realstory,05/03/2022,neutral,0,0
#Liverpool,en,HocineBoulkour,Constantine                   ,['Liverpool'],"UEFA Champions League, semi-final return, tonight at 7 p.m. GMT: Viallreal #Liverpool.
Liverpool will certainly be the first finalist for this 2021/2022 season. Also whithout any difficulty... https://t.co/38ym7NkIAc",05/03/2022,positive,1,1
#Liverpool,en,profbuchan,"Liverpool, England",['Liverpool'],"Think global, live local, connect deeply: https://t.co/omjquu4tw0 - thanks @grazulis for pointing out this great discussion of regenerative systems: gets to the heart of the purpose-led innovation we are pursuing in #Liverpool @CivicDataCoop @Sciontec",05/03/2022,positive,2,6
#Liverpool,en,karanjitutsav,"Seattle, WA","['MasonMount', 'fantasypremierleague', 'fpl', 'premierleague', 'fplcommunity', 'fantasyfootball', 'fpltips', 'football', 'fplscout', 'epl', 'fantasypl', 'soccer', 'pl', 'fplfamily', 'englishpremierleague', 'fantasy', 'fplindia', 'liverpool', 'chelsea', 'fplindonesia', 'gw', 'fplmanager']","Any thoughts on Mason mount?? 
#MasonMount
#fantasypremierleague #fpl #premierleague #fplcommunity #fantasyfootball #fpltips #football #fplscout #epl #fantasypl #soccer #pl #fplfamily #englishpremierleague  #fantasy #fplindia #liverpool #chelsea #fplindonesia #gw #fplmanager",05/03/2022,neutral,0,0
#Liverpool,en,VerpissSport,"Weißenburg in Bayern, Germany","['manutd', 'Liverpool', 'arsenal', 'ManCity', 'Chelsea', 'spurs', 'eventon', 'PremierLeague', 'championsleague', 'football', 'facup']",If anyone follows right now I will follow them back. #manutd #Liverpool #arsenal #ManCity #Chelsea #spurs #eventon #PremierLeague #championsleague #football #facup,05/03/2022,positive,0,1
#Liverpool,en,MissyClarke,Liverpool,"['Liverpool', 'Blondie']","In other news. This woman is a fucking legend. Live in #Liverpool tonight and didn’t disappoint. A mere 77 and still rocking it, blowing all pretenders and followers out of the water. Debbie  you are still my biggest girl crush  #Blondie https://t.co/wYycsIqPnV",05/03/2022,negative,1,14
#Liverpool,en,CCEAMmembers,Global,"['Liverpool', 'BELMAS', 'CCEAM']","Join us in #Liverpool for the 2022 #BELMAS - #CCEAM conference. July 8-10. “Leadership for Global Citizenship”

Information available https://t.co/PG3cyFQdQA https://t.co/3g641KYQYw#BELMAS#BELMAS",05/03/2022,positive,0,0
#Liverpool,en,NicoleWilliamsW,Wirral,['Liverpool'],"Debbie @BlondieOfficial #Liverpool  - thank you for blowing a kiss to my girl tonight at the end, Debbie - she got Tommy’s guitar pick 🥰 😘🙏🏻❤️ https://t.co/2S1o2Tqxxl",05/03/2022,neutral,0,2
#Liverpool,en,DarenceChan,Everywhere in the World!,"['Liverpool', 'Villarreal', 'VILLIV', 'UCL']","TONIGHT! Another watchalong (no badminton 😭) - CHAMPIONS LEAGUE LIVE from 7:50PM 🇬🇧/2:50AM 🇲🇾, Liverpool travel to Villarreal to continue their bid for a quadruple!

Live link is here: https://t.co/8h0NH76KCS, see you tomorrow!

#Liverpool #Villarreal #VILLIV #UCL https://t.co/kXtYyOPtXS",05/03/2022,positive,0,3
#Liverpool,en,retweetallowed,"Fort Worth, TX","['Liverpool', 'PhotoPorphecy', 'Liverpool']","@BlackQueenLara @LFC Oh my. #Liverpool's killing the other one tomorrow, that's what your graphic's predicting (You do #PhotoPorphecy like no one in the world). Poor #Liverpool's enemies;",05/03/2022,negative,0,0
#Liverpool,en,AhmedLulat,LEICESTER → ENGLAND,"['Klopp', 'LFC', 'Liverpool', 'UCL', 'ChampionsLeague', 'VILLIV']","My  Liverpool  team vs Villarreal for the Champions League semi final second leg.

                   Alisson 

 Arnold  Konate  V.Dijk  Robo 

   Keita    Fabinho    Thiago 

    Salah    Origi    Mane 

@LFC @1JohnAchterberg #Klopp #LFC #Liverpool #UCL #ChampionsLeague #VILLIV",05/03/2022,neutral,0,0
#Liverpool,en,BlackQueenLara,Universal House JC-USA NL F C,"['Liverpool', 'Paris', 'LIVFans', 'TearsOfJoy', 'FAITH', 'LFC', 'TAXIS', 'BarstoolSportsbook', 'BGT']","@LFC Spotted many #Liverpool Fans in my #Paris yesterday. Female #LIVFans are so pretty that their Male's intrigued by average-looking Parisians🤣. I'm letting #TearsOfJoy, after witnessing #FAITH in Action in #LFC. For #TAXIS, have your address READY in #BarstoolSportsbook🤣, #BGT https://t.co/W1syPYf0ET",05/03/2022,positive,1,1
#Liverpool,en,MyWeather_LVC,"Liverpool, Merseyside, England","['Liverpool', 'MyWeather']","☁️ #Liverpool Overcast for the hour 10°C with cloudy, Mostly cloudy throughout the day with highs of 10°C #MyWeather",05/03/2022,positive,0,0
#Liverpool,en,BenficaSenhor,North America,"['benfica', 'wearebenfica', 'pelobenfica', 'nossobenfica', 'liverpool', 'darwinnunez']","Darwin Nunez Move From Benfica To Liverpool 'Assumed' To Be Almost Done States Reliable Journalist
https://t.co/Txh2VdniL2

#benfica #wearebenfica #pelobenfica #nossobenfica #liverpool #darwinnunez",05/03/2022,neutral,0,0
#Liverpool,en,UTO1867,Republic of Yorkshire,"['Blondie', 'Liverpool', 'JohnnyMarr', 'GlenMatlock']","#Blondie in #Liverpool tonight were incredible,#JohnnyMarr was incredible &amp; seeing #GlenMatlock was the icing on the cake really. https://t.co/QSYTVnaVMV",05/03/2022,positive,0,3
#Liverpool,en,fcangelov,,"['FIFA22', 'Liverpool', 'VillarrealLiverpool', 'Villarreal', 'ChampionsLeague', '03may2022', 'levnsg', 'levntsg']","FIFA 22 • Villarreal vs Liverpool • PS4™ Gameplay [HD 60FPS]

➡️ https://t.co/zCCsDIK5Pw

#FIFA22 #Liverpool #VillarrealLiverpool #Villarreal #ChampionsLeague #03may2022 #levnsg #levntsg https://t.co/8Ai2UBpQXU",05/03/2022,neutral,1,0
#Liverpool,en,JnelenD,"Seattle, WA","['liverpool', 'football', 'soccer', 'newbie']",Finally made a decision. I’m officially a Liverpool fan #liverpool #football #soccer #newbie https://t.co/nKLctSGeuz,05/03/2022,neutral,0,3
#Liverpool,en,ManuVenugopalan,"England, United Kingdom",['Liverpool'],@markgoldbridge Dear @Carra23 please give advice to #Liverpool. We @ManUtd didn’t seek your advice.,05/03/2022,neutral,0,0
#Liverpool,en,GranniesGnome,"England, United Kingdom","['ExPoliceOfficer', 'CurrentPastor', 'Liverpool', 'Retford', 'Gainsborough', 'ManOfGod', 'arrested', 'OnLine', 'Grooming', 'predator', 'Stung']","#ExPoliceOfficer 
#CurrentPastor
#Liverpool 
#Retford 
#Gainsborough
#ManOfGod 

Ray Peel
#arrested #OnLine #Grooming
#predator #Stung 

https://t.co/hf9NuNEUbo",05/03/2022,neutral,1,1
#Liverpool,en,BlackQueenLara,Universal House JC-USA NL F C,"['WaitAMin', 'WT', 'Hillborough', 'FootballClubs', 'Liverpool', 'CrystalPalace', 'LFC', 'MatchDay']","#WaitAMin #WT. How's the #Hillborough tragedy connected to the only #FootballClubs I like, as I am a #Liverpool Fan &amp; a new #CrystalPalace's Friend❓ I'll investigate this tomorrow or later cause I do all I can not to be fretting on any #LFC #MatchDay💃🏽🧘🏽‍♀️  https://t.co/dSgD5G4cIe",05/03/2022,positive,1,1
#Liverpool,en,KimJo32008,,"['philharmonic', 'Liverpool', 'BankHolidayMonday']","Live Music, Great for the soul. @theshiresuk Fabulous show. Fabulous venue #philharmonic #Liverpool #BankHolidayMonday https://t.co/9uvtksmAl2",05/03/2022,positive,0,1
#Liverpool,en,MattiasArvidss1,,"['VILLIV', 'LFC', 'YNWA', 'JFT97', 'Liverpool', 'LiverpoolFC', 'Klopp']",good night ladies and gentlemen. One more sleep. Sweet dreams. #VILLIV #LFC #YNWA #JFT97 #Liverpool #LiverpoolFC #Klopp https://t.co/AvYzBgAsNt,05/03/2022,positive,3,80
#Liverpool,en,obd_hd,,"['Messi', 'PSG', 'ChampionsLeague', 'Argentina', 'Liverpool', 'Villarreal', 'RealMadrid', 'ManchesterCity', 'ManchesterUnited']","Lionel Messi All Goals For Argentina

Original Video : https://t.co/9uGP60kkEa

#Messi #PSG #ChampionsLeague #Argentina #Liverpool #Villarreal #RealMadrid #ManchesterCity #ManchesterUnited https://t.co/YHWgKz0skb",05/03/2022,positive,0,0
#Liverpool,en,Msrockscorpion,,['Liverpool'],@chrissteinplays @BlondieOfficial what a concert! you were amazing 😍 @rocktoffee #Liverpool https://t.co/qlra51Ieyn,05/03/2022,positive,0,1
#Liverpool,en,cards_rock,newmarket ontario,"['liverpool', 'liverpoolfans', 'klopp', 'salah', 'anfield', 'champ', 'champs', 'ucl', 'thekop', 'kop', 'reds', 'soccer', 'etsy', 'anfieldroad']","Liverpool fans can get this print from my etsy at the link below.

#liverpool #liverpoolfans #klopp #salah #anfield #champ #champs #ucl #thekop #kop #reds #soccer #etsy #anfieldroad  https://t.co/dIA3QRH6oq",05/03/2022,neutral,0,2
#Liverpool,en,9ll_z,"ابها, المملكة العربية السعودية","['salah', 'Liverpool', 'PSG', 'HalaMadrid']","Telegraph

Mohamed Salah is considering PSG as a possible move if he leaves Liverpool 👀🗞️ #salah #Liverpool #PSG #HalaMadrid . https://t.co/KSD79fBawo",05/03/2022,neutral,0,1
#Liverpool,en,RTHondavehanson,Delyn (flint ),"['blondie', 'parallellines', 'liverpool', 'beatles']","A bit of 70/80s rock-I bought #blondie #parallellines when Jim Callaghan was PM but tonight seen live at #liverpool 
Great voice,great presence fantastic band &amp; special mention for drumming by @clem_burke which was top. 
Nice touch to play some #beatles also

What’s not to like? https://t.co/7vhfJ6KkQc",05/03/2022,positive,1,18
#Liverpool,en,LifeAutism,"Saint Helens, England","['Liverpool', 'LFC', 'football', 'Liverbird', 'cute', 'LDS', 'smad3']",How cute is our little liverbird #Liverpool #LFC #football #Liverbird #cute @capliverpool @liverpool @LFC #LDS #smad3 https://t.co/6KT7cujpV1,05/03/2022,positive,0,0
#Liverpool,en,MidnightinLond,"City of London, London","['kaiserchiefs', 'kaiserchiefstickets', 'ticketmaster', 'ticketmasterapp', 'ticketmasteruk', 'london', 'birmingham', 'liverpool', 'cardiff', 'glasgow', 'nottingham', 'unitedkingdom', 'thesherocks', 'thefratellis', 'MetGala2022']","Kaiser Chiefs UK Tour 2022 2-19Nov, 2022
Tix {https://t.co/ZKO4MsgvT9}

#kaiserchiefs #kaiserchiefstickets #ticketmaster #ticketmasterapp #ticketmasteruk #london #birmingham #liverpool #cardiff #glasgow #nottingham #unitedkingdom #thesherocks #thefratellis #MetGala2022",05/03/2022,neutral,0,1
#Liverpool,en,PENTOTHEWORLD,,"['Liverpool', 'Klopp']","Champions League: We take nothing for granted – Klopp speaks ahead of trip to Villarreal
https://t.co/JSQL0rse7B
#Liverpool #Klopp https://t.co/JYPmbvvqIj",05/03/2022,neutral,0,0
#Liverpool,en,bessconference,"London, England","['bess2022', 'bess2022', 'Liverpool']","#bess2022 good night all - only 24 hours to go until our early bird closes....😀

who else is looking forward to #bess2022 #Liverpool?",05/03/2022,positive,1,0
#Liverpool,en,ftlowrestling,"England, United Kingdom","['AdamScherr', 'BraunStrowman', 'FutureShockWrestling', 'WWE', 'wrestling', 'WrestlingCommunity', 'WrestlingTwitter', 'ComicCon', 'Liverpool', 'FTLOW', 'ftlowrestling', 'ForTheLoveofWrestling']","Check out @Adamscherr99 at the @FutureShockWres show

You never know who could show up

#AdamScherr #BraunStrowman #FutureShockWrestling #WWE #wrestling #WrestlingCommunity #WrestlingTwitter #ComicCon #Liverpool #FTLOW #ftlowrestling #ForTheLoveofWrestling https://t.co/iqBzwBRWos",05/03/2022,neutral,1,13
#Liverpool,en,HousePartyRadio,,"['OnAir', 'house', 'and', 'techo', 'netherlands', 'bigtunes', 'anthems', 'share', 'like', 'liverpool', 'housemusic', 'housepartyradio', 'live']","#OnAir: Flow Radio Show with @FrankyRizardo. Web/Mobile/Alexa https://t.co/3FBQliIppk 🔊🔊🔊

#house #and #techo #netherlands
#bigtunes #anthems #share #like #liverpool https://t.co/7LPPonGuFS #housemusic #housepartyradio #live https://t.co/rBqF4ewMnO",05/03/2022,positive,0,0
#Liverpool,en,BlackQueenLara,Universal House JC-USA NL F C,"['PSG', 'Lfc', 'Thiago', 'Salah', 'Liverpool', 'ChampionLeague', 'FINAL', 'LFC', 'Gini']","Neighbour who was #PSG Fan as a teen who's now a #Lfc Fan for 2 weeks (Felt in❤️with #Thiago Diaz Sadio Jota #Salah Ibou) called. He's getting our tickets NOW 4 #Liverpool's #ChampionLeague's #FINAL. I♥️ HOW HE's SURE #LFC will go all the way. Ex PSGFan, MAD a UNKOWN #Gini's paid https://t.co/fZjU2sb2G6",05/03/2022,negative,1,1
#Liverpool,en,block_football,,"['Championsleague', 'Finals', 'Liverpool', 'Villarreal', 'UEFA', 'Football', 'P2E', 'Metaverse']","Champions League Semi Final ⚽️ ⚽️⚽️

Villarreal vs Liverpool 2nd Leg 👀👀

Who’s going to the final??? 🏆

#Championsleague #Finals #Liverpool #Villarreal #UEFA #Football #P2E #Metaverse",05/03/2022,neutral,4,4
#Liverpool,en,theparleh,,"['Liverpool', 'UCL', 'LFC', 'Villarreal', 'SportsBetting']","Liverpool to extend their perfect away form in Europe this season ⚽ 👀

Check out @SaraPoraria's picks! 👇 👇 👇

🔴 #Liverpool moneyline &amp; over 2 total goals (+300)

#UCL #LFC #Villarreal #SportsBetting https://t.co/psAVdNaXU9",05/03/2022,positive,1,2
#Liverpool,en,footballitalia,,"['Mazzarri', 'Cagliari', 'Liverpool', 'LFC', 'SerieA', 'Calcio']","Walter Mazzarri has been officially dismissed by Cagliari, further damaging his CV following the heights of his career with Napoli. https://t.co/umKeNQQTb3 #Mazzarri #Cagliari #Liverpool #LFC #SerieA #Calcio",05/03/2022,neutral,1,18
#Liverpool,en,GoonersGuide,On the Net,"['UCL', 'ChampionsLeague', 'Villarreal', 'Liverpool']",2022-05-03 : #UCL #ChampionsLeague : #Villarreal vs #Liverpool Football Betting Pick Link: https://t.co/9DjCVWcqgI,05/03/2022,neutral,0,0
#Liverpool,en,RousingTheKop,"Liverpool, England","['lfc', 'ynwa', 'liverpool']",Data analysts give Liverpool's percentage chance of winning the Premier League or Champions League #lfc #ynwa #liverpool https://t.co/Hs8DWKepkw,05/03/2022,positive,2,1
#Liverpool,en,DavidMaynard32,,"['Arsenal', 'Leeds', 'Spurs', 'Newcastle', 'Everton', 'Liverpool', 'Burnley', 'Norwich']","Given recent form, it will be typical #Arsenal to lose against #Leeds, beat #Spurs, and lose to #Newcastle and #Everton! Equally, typical Spurs to beat #Liverpool and lose to #Burnley and #Norwich and Arsenal still get 4th! What a funny old season it has been!",05/03/2022,negative,1,0
#Liverpool,en,ROICapper1,"Louisiana, United States","['FreePlays', 'championsleague', 'liverpool', 'villarreal', 'sportsbettingadvice', 'sportsbets', 'sportsbettor', 'sportsbetting', 'uefa', 'soccer']","⚽️ https://t.co/v0g3jcwKst ⚽️

⭐️ (135 - 12 - 88.5)  Last 236 #FreePlays - 65% ⭐️

All Likes &amp; Retweets Are Appreciated To Show Support. 👊🙏

#championsleague #liverpool #villarreal #sportsbettingadvice #sportsbets  #sportsbettor #sportsbetting #uefa #soccer https://t.co/mk42oOYvbB",05/03/2022,positive,6,20
#Liverpool,en,BlackQueenLara,Universal House JC-USA NL F C,"['GiniWijnaldum', 'Liverpool', 'Gini']","@ErikSteigen #GiniWijnaldum's character was absolutely not compatible with the collective character of #Liverpool. In plain English: #Gini was a pain in the a but I couldn't say it, he's a somehow my Nig. Listen, my neighbor who's was a PSG fan since childhood NEVER heard of him, says it all",05/03/2022,negative,0,1
