Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment,Totalretweet,Totalfavorite
#Manu,en,MrPaulPashley,Management: Independant,"['manutd', 'manu', 'manchesterunited', 'roykeane']","Great 11 by Roy Keane. Best all time #manutd 11! 
Who would I / You change? 🤔 
#manu #manchesterunited #roykeane https://t.co/bCLJlpBgJP",05/03/2022,positive,0,2
#Manu,en,ridexin,Somewhere,"['dogs', 'Bruno', 'PL', 'CR7𓃵', 'Cristiano', 'garner', 'Ronaldo', 'CristianoRonaldo', 'ManUnited', 'ManUtd', 'manu', 'GGMU']",Nemanja Matić and Juan Mata say goodbye to Old Trafford for the very last time 👋❤️ #dogs #Bruno #PL #CR7𓃵 #Cristiano #garner #Ronaldo #CristianoRonaldo #ManUnited #ManUtd #manu #GGMU https://t.co/tZH1KuW7mK,05/03/2022,positive,0,3
#Manu,en,hugill_emma,United Kingdom,"['skyports', 'manu']",@GNev2 Hope you’re watch #skyports with Roy Keane ⚽️👍🏼 he’s picked you in his top 11 #manu team! 😃👏🏼,05/03/2022,positive,0,0
#Manu,en,anthonette4gold,"Ilorin, Nigeria",['ManU'],Wear it with pride ❤️ #ManU https://t.co/w8NfdEhL1Z,05/03/2022,neutral,1,9
#Manu,en,_petey_pan,London aka The Big Smoke,"['MUFC', 'ManU']","@reecef550 100% a bar in Surrey!
All probably shouting Glaziers Out a month ago … have now all bought the full kit! 🤣
#MUFC #ManU https://t.co/XbSL856qzY",05/03/2022,positive,0,0
#Manu,en,OribelZane,,"['ManUnited', 'MATIC', 'Mata', 'CR7', 'Cristiano', 'ronaldo', 'ManU']",And it's a wrap!! Thank you boys! Thank you #ManUnited! Best club ever! #MATIC #Mata #CR7 #Cristiano #ronaldo #ManU https://t.co/jrgBWNCkTl,05/03/2022,positive,2,3
#Manu,en,curt_ds,Canada,['MANU'],"As we wrap up the 2021/2022 Premier League Season, I have made a small tribute aimed at celebrating a few of the great moments we witnessed this season from the Greatest to ever do it, @Cristiano.

This season didn't go as expected, but its still an honour to watch the 🐐 

#MANU https://t.co/ssveAdXGgN",05/03/2022,positive,0,3
#Manu,en,simonjwadsworth,Manchester England,"['ManchesterUnited', 'manu', 'GlazersOut']",Shame on all of you who stayed there as @BPete1970 asked you all to leave with him. You stayed and sang your anti glazer songs not prepared to make a little sacrifice. #ManchesterUnited #manu #GlazersOut,05/03/2022,negative,0,4
#Manu,en,OribelZane,,"['ManU', 'legends', 'bestclub']",@SuperSportTV Thank you Rangnick! 🙏 #ManU #legends #bestclub,05/03/2022,neutral,0,0
#Manu,en,BallackSrfc,15/01/2021 - 100+ days 🍺🚫,"['Glazers', 'ManU']","What sort of protest is this 🤦‍♂️?
You've paid your money to the club for the tickets that is all they care about.
Then you watch almost all of the match and walk out with 17 minutes left 🤷
I bet the #Glazers walk away in the morning after such a pointless protest haha 😂🤣
#ManU https://t.co/TBy4Rn35Hm",05/03/2022,negative,0,1
#Manu,en,tigglygones,"London, England","['brentfordfc', 'manu', 'manchesterunited', 'oldtrafford']",If you love the glazers sit down #brentfordfc #manu #manchesterunited #oldtrafford no one’s left because they’re all plastic tourists 😂 https://t.co/059dMK9LEe,05/03/2022,positive,1,12
#Manu,en,OribelZane,,"['CR7', 'Cristiano', 'ronaldo', 'ManU', 'ManUnited']","The man, the legend, the GOAT!!! Bow to the king of football #CR7 #Cristiano #ronaldo #ManU #ManUnited https://t.co/XznO3iTF4y",05/03/2022,neutral,4,8
#Manu,en,thidzzz,,"['MANBRE', 'ManU']","Mata, matic and ronaldo at a combined age of 100 years old showed Man U roster how it's done. 😭😭😭😭😭😭😭 #MANBRE #ManU",05/03/2022,positive,0,3
#Manu,en,OribelZane,,['ManU'],Farewell legends! #ManU https://t.co/17lGVMzGfD,05/03/2022,neutral,2,1
#Manu,en,OribelZane,,"['Mata', 'CR7', 'ManU', 'ManUnited']",@ManUtd What a clean finish! Proud of you boys #Mata #CR7 #ManU #ManUnited,05/03/2022,positive,0,0
#Manu,en,CRYPTOHUBTRADER,"England, United Kingdom",['ManU'],"3 STEPS TO START UP YOUR INVESTMENT AND EARN 100% PROFIT. 
1. GET YOUR BITCOIN WALLET, 
     GET IT REGISTERED AND 
     VERIFIED.

2. GET YOUR BITCOIN WALLET
    FUNDED WITH THE AMOUNT
    OF INVESTMENT CAPITAL OF YOUR CHOICE.

Click

To get started https://t.co/IT2xK5tav3
#ManU https://t.co/fNLcjtaxkI",05/03/2022,neutral,0,0
#Manu,en,JamesSmith1087,"North West, England","['manu', 'mufc', 'MUNBRE', 'MUBRE']",This is exactly why the Glazers will never sell Manchester United. The fans couldn’t leave. The fans can’t not go to games. The fans can’t not buy shirts. They know full well they’ve got the fans exactly where they want them. #manu #mufc #MUNBRE #MUBRE,05/03/2022,positive,0,1
#Manu,en,netra_pius,"Kampala, Uganda","['Ronaldo', 'ManchesterUnited', 'manu', 'Brentford', 'MANBRE']","Ronaldo penalty vs brentford 
Siuuuuuu🔥🔥
#Ronaldo 
#ManchesterUnited 
#manu
#Brentford 
#MANBRE https://t.co/kP0wWhzwBy",05/03/2022,neutral,2,24
#Manu,en,iampateltilak,,"['ManchesterUnited', 'MUNBRE', 'football', 'ManU', 'Ronaldo']","Aged Fine Like A Wine 🍷 
@Cristiano 
#ManchesterUnited #MUNBRE #football #ManU #Ronaldo https://t.co/sg7OP0H3yA",05/03/2022,positive,1,9
#Manu,en,jovi1scoreobi,"Philadelphia, PA","['question', 'ManU', 'CR7𓃵']","Real #question for the pro stat man

If a player gets rewarded a PK for getting taken down in the box should legitimately be counted as a chance created … then scores the penalty… could he then get credit for a goal &amp; a chance created on the same goal??
#ManU #CR7𓃵",05/03/2022,positive,0,0
