Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment,Totalretweet,Totalfavorite
#news,en,kamzou08,Arlington VA (DC Area),"['News', 'Buzzfeed', 'Newsbites']",#News #Buzzfeed #Newsbites :Trendy Pentathlon Trades Horses for an Impediment Course https://t.co/92vM5TPt6f,05/04/2022,positive,0,0
#news,en,imminent_news,,"['news', 'TSN', 'ukraine', 'mostshared']",🇺🇦 Russia is preparing for the third cycle of the war at the end of May - Putin will throw people in the waves  #news #TSN  #ukraine #mostshared https://t.co/WgXT9SVpaB,05/04/2022,neutral,1,7
#news,en,CybrXx0,,"['cybersecurity', 'netsec', 'news']",Useful Security Tools and Resources for Digital Forensics via /r/netsec https://t.co/QkK938BPS8 #cybersecurity #netsec #news,05/04/2022,positive,5,5
#news,en,newslookout,,"['newslookout', 'news', 'worldnews', 'headlines']","(Live: The Johnny Depp v. Amber Heard trial continues) has been published on News Lookout - https://t.co/WHr4ei31Ay 

#newslookout #news #worldnews #headlines https://t.co/vTTvQEsY0w",05/04/2022,positive,0,0
#news,en,hostintheclouds,127.0.0.1,"['cell', 'fuel', 'corpus', 'hydrogen', 'states', 'news']","Texas hydrogen fuel project to become a massive hub 
 
 Source: https://t.co/4VfKwhp35D 
 #cell, #fuel, #corpus, #hydrogen, #states, #news",05/04/2022,neutral,0,0
#news,en,BitcoinNewsPost,,"['Bitcoin', 'News', 'bitcoinnews']",Saudi Arabia Exploring Possibility of Implementing Blockchain in Government – Featured #Bitcoin #News https://t.co/xVPVbVLHbM #bitcoinnews,05/04/2022,neutral,0,0
#news,en,Barty2811,"ÜT: -33.881662,151.223624","['tancologne', 'newmexico', 'dreampop', 'labradorrecords', 'indie', 'track', 'news']","Track: Tan Cologne make a welcome return with shimmering and evocative new track 'Topaz Wave' and news of new album through Labrador Records.
@tan_cologne @labradorrecords
#tancologne #newmexico #dreampop #labradorrecords #indie #track #news https://t.co/utzrDco2fv",05/04/2022,positive,0,2
#news,en,BackseatMafia,Everywhere,"['tancologne', 'newmexico', 'dreampop', 'labradorrecords', 'indie', 'track', 'news']","Track: Tan Cologne make a welcome return with shimmering and evocative new track 'Topaz Wave' and news of new album through Labrador Records.
@tan_cologne @labradorrecords
#tancologne #newmexico #dreampop #labradorrecords #indie #track #news https://t.co/nuJuNHihqV",05/04/2022,positive,0,1
#news,en,QFDTPodcast,Bogotá - Sevilla,['News'],USCIS’ Important Decision for Immigrants with Expired Work Permits https://t.co/IiiZtnZV8D #News https://t.co/8tSGcpfmXd,05/04/2022,positive,0,0
#news,en,Cryptoprenure,,['News'],UK data shows that shop prices have risen at the fastest rate since 2011 https://t.co/unP1xZKBqC #News,05/04/2022,neutral,0,0
#news,en,TLund32926493,"Washington, USA","['breaking_news', 'breaking', 'BREAKING', 'news', 'NewsUpdate']",All around news #breaking_news #breaking #BREAKING #news #NewsUpdate https://t.co/SpzFE3djLT,05/04/2022,neutral,1,1
#news,en,SarnieUK,,"['sandwich', 'news', 'sandwichnews', 'sandwichinthenews']","""David Walden, Computer Scientist at Dawn of Internet, Dies at 79"" via NYT https://t.co/y8epACl5MH #sandwich #news #sandwichnews #sandwichinthenews",05/04/2022,neutral,0,0
#news,en,rbhcom20,#روسيا2018,"['America', 'USA', 'news']","https://t.co/H4zTwMM2rp Visual Preferences Will Reveal Which IKEA Product Line Matches Your Taste
 #America #USA #news @rbhcom20 https://t.co/ae0yyWRrFt",05/04/2022,neutral,1,1
#news,en,GabbSean,"Canterbury, England","['News', 'freespeech']","LA #News Release, BNP Acquittals “a Partial Victory for Free Speech” (February 2006) https://t.co/73uRNTnCgn #freespeech",05/04/2022,positive,0,0
#news,en,excelplas,"Moorabbin, Melbourne","['protectivecoatings', 'coatings', 'news', 'PCN', 'pipelinecoatings', 'anticorrosioncoatings', 'novolacepoxy']","For all latest Protective Coatings News, check out the link below.

Protective Coatings News (PCN) May 2022 Vol. 1
https://t.co/H2ZRpnmomp

#protectivecoatings #coatings #news #PCN #pipelinecoatings #anticorrosioncoatings #novolacepoxy",05/04/2022,positive,0,0
#news,en,FlashNews7oday,,"['News', 'Today', 'BreakingNews', 'World']",News - A New York City love story has played out on the Met Gala steps Monday with a proposal  #News #Today #BreakingNews #World,05/04/2022,positive,0,0
#news,en,AggregateGlobal,,['news'],Anarchist Collective Shares Instructions to Make DIY Abortion Pills https://t.co/y434jRgNLh #news,05/04/2022,neutral,0,0
#news,en,themarketherald,,"['themarketherald', 'news', 'asx']","Banking giant ANZ (ASX:ANZ) has posted a 10 per cent increase in statutory profit after tax to $3.53 billion for the half-year ended March 31, 2022.

#themarketherald #news #asx

https://t.co/MQngPwEEaN",05/04/2022,neutral,0,0
#news,en,BerkleyBearNews,Doghouse,"['news', 'topstories', 'berkleybearnews']",Oil prices have soared. Why won't Opec bring them down? https://t.co/kSzVWDqrK8 #news #topstories #berkleybearnews,05/04/2022,negative,0,0
#news,en,BerkleyBearNews,Doghouse,"['news', 'topstories', 'berkleybearnews']",The Indian couple who survived war and a hijacking at sea https://t.co/PAC8qmB0xr #news #topstories #berkleybearnews,05/04/2022,neutral,0,0
#news,en,BerkleyBearNews,Doghouse,"['news', 'topstories', 'berkleybearnews']",Cramer's lightning round: I've 'pulled in my horns' on Lucid https://t.co/vU8EFOEpz3 #news #topstories #berkleybearnews,05/04/2022,negative,0,0
#news,en,brandonpromo,"St Petersburg, FL","['news', 'breaking', 'fox']",Alabama sheriff releases jailhouse surveillance video showing murder suspect leave with corrections officer https://t.co/vsbgBMREKD #news #breaking #fox https://t.co/YEHhEi4kzm,05/04/2022,neutral,0,0
#news,en,BerkleyBearNews,Doghouse,"['news', 'topstories', 'berkleybearnews']","SEC lays out path to coveted spot-bitcoin ETF, but... https://t.co/OAudXEPbF1 #news #topstories #berkleybearnews",05/04/2022,negative,0,0
#news,en,Underground_USA,USA,"['Abortion', 'SCOTUS', 'ProLife', 'ProChoice', 'RightToLife', 'RightToChoose', 'StatesRights', 'TenthAmendment', 'News']","""...No constitutional rights are being stripped. No one’s anatomy is being compromised. And abortion is not being outlawed...""

LISTEN/READ, LIKE, SHARE
https://t.co/4ncRie2faL

#Abortion #SCOTUS #ProLife #ProChoice #RightToLife #RightToChoose #StatesRights #TenthAmendment #News",05/04/2022,neutral,0,0
#news,en,ChronLaw,"Houston, TX","['Lawyer', 'news', 'law', 'attorney', 'lawyer']","An Abortion Provider and a Pro-Life Lawyer Found Common Ground – The Wall Street Journal

ChronLaw Lawyer News
at https://t.co/vQ0ruw5ok9

#Lawyer #news #law #attorney #lawyer",05/04/2022,negative,0,0
#news,en,thugmaza,,"['pakistannews', 'pakistan', 'news', 'lahore', 'islamabad', 'karachi', 'pakistani', 'imrankhan', 'urdunews', 'pti', 'geonews', 'arynews']","Leaked Supreme Court draft threatens Roe v. Wade
https://t.co/sgD0JiKDPY
#pakistannews #pakistan #news #lahore #islamabad #karachi #pakistani #imrankhan #urdunews #pti #geonews #arynews 
https://t.co/sgD0JiKDPY",05/04/2022,neutral,0,0
#news,en,Dirk_Matter,"The Heights, Little Rock",['news'],"""I'm not dead! I'm getting better! I feel fine! I think I'll go for a walk!""

#news
https://t.co/L3GfpIpbXo https://t.co/LAehiIR7fT",05/04/2022,positive,0,1
#news,en,BerkleyBearNews,Doghouse,"['news', 'topstories', 'berkleybearnews']",Legal questions surrounding leaked Supreme Court draft opinion on overturning Roe v. Wade https://t.co/r9bTRp7rRj #news #topstories #berkleybearnews,05/04/2022,positive,0,0
#news,en,theluckyman,United States,"['crime', 'news']",Monsters &amp; Critics: 90 Day Fiance viewers slam Biniyam’s sister for throwing wine in Ariela’s face https://t.co/T7uVvCSjdR #crime #news https://t.co/7J32Irn43y,05/04/2022,neutral,0,0
#news,en,ChronLaw,"Houston, TX","['WrongfulDeath', 'news', 'law', 'attorney', 'lawyer']","Andrew Brown Jr. wrongful-death lawsuit takes step forward – WUNC

ChronLaw Wrongful Death News
at https://t.co/pDv5YVVrp8

#WrongfulDeath #news #law #attorney #lawyer",05/04/2022,neutral,5,12
#news,en,ChronLaw,"Houston, TX","['WrongfulDeath', 'news', 'law', 'attorney', 'lawyer']","Basketball Team Co-Owner Wants Out Of Wrongful Death Suit – Law360

ChronLaw Wrongful Death News
at https://t.co/XMDFbjc1t9

#WrongfulDeath #news #law #attorney #lawyer",05/04/2022,positive,0,0
#news,en,HouseofColors_,Established by Entré,"['7220Tour', 'HouseofColors', 'LilDurk', 'Chicago', 'OTF', 'hiphop', 'news', 'media']","Lil Durk had a very eventful day on Monday ahead of his anticipated performance at the @UnitedCenter to conclude his #7220Tour. @lildurk #HouseofColors #LilDurk #Chicago #OTF @whitesox #hiphop #news #media 

Revisiting 7220 🏠✅
White Sox First Pitch ⚾️✅
HBCU Program 🎓✅ https://t.co/GcYueN4HAi",05/04/2022,positive,0,1
