Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
Apex,en,Yeetsu28,Poland,[],@Respawn Please add a feature to Apex legends that lets you transfer items from a console account to pc,04/15/2022,0.0,neutral,0,0
Apex,en,SoltekGG,,[],"Apex legends needs [Death Coms]
- Will definitely bring more content to the table! 

Yes, funny moments &amp; also some very bad hateful/more stuff but we can always have the option to turn it off.

What do you guys think?

@Apexlegends",04/15/2022,-0.008749999999999952,negative,0,6
Apex,en,footelo0se,"Iowa, USA",['ControllerGang'],"LIVE🚨🚨🚨

APEX RANKED and GOOD VIBES AND GOOD TIMES!!!

@InControlNation || #ControllerGang 
https://t.co/IiV7xbqjfh https://t.co/6fLMaEAYq2",04/15/2022,0.85,positive,2,6
Apex,en,What3lse_TTV,SOUTH WEST LONDON,"['apex', 'apexlegends', 'What3lse_']",🤣🤣🤣 laughing because we had these man dip from the fight before just to get packed again. #apex #apexlegends #What3lse_ https://t.co/xttDWevQtR,04/15/2022,0.0,neutral,0,2
Apex,en,timvFPS,"Pennsylvania, USA","['twitch', 'ApexLegends', 'smallstreamer']","🔴Apex time once again! Get in here and let’s get some W’s! 
https://t.co/cW4Z8XpUve

#twitch #ApexLegends #smallstreamer",04/15/2022,0.0,neutral,0,2
Apex,en,Sugarsockzgg,"Austin, TX",[],"🔴 FPS SOCKZ INCOMING!!

Apex w/ @DrulkTV and @mazidagg 

All dubs, 0 loses

https://t.co/nDq5c9EGpJ https://t.co/GueRxE0fF1",04/15/2022,-0.3,negative,0,1
Apex,en,Snikklefritz09,,[],Thinking about @ZLeaguegg tournaments for Apex. 🤔🤔🤔🤔,04/15/2022,0.0,neutral,0,6
Apex,en,azzy_cakes,,[],"@eloc1n_ttv HELLO YOU'RE ON APEX?!

?!?!??@';L,HL;TH EXCUSE ME",04/15/2022,-0.05,negative,0,0
Apex,en,GILJL_1,,[],Bro I want to stream but I need to figure out setting for the laptop for OBS and see what I can but I’ve played apex and midnight hunt is all working fine!!,04/15/2022,0.6510416666666667,positive,0,0
Apex,en,Rpeallz,westbumble,[],"@tweezyna i stopped playing cod and it’s been enjoyable valorant, apex, fortnite, lol, and bo3 just playing for fun have made steaming and playing games more enjoyable and not feeling so stressed out and worrying about anything",04/15/2022,0.52,positive,0,1
Apex,en,WingsNDNSilver,Red Willow,[],"It's not.  See that beveling on the edge, with the sharp corner between the flat surface and small side slope?

That's because this band began as heavy-gauge triangle ""wire,"" meaning ingot molded into a pyramidal shape with a sharp apex.  So how did it get flat like that? https://t.co/PlEXKnHBxF",04/15/2022,-0.11000000000000001,negative,4,6
Apex,en,ExTiNkT91,"Illinois, United States",[],Apex Legends players are the most retarded human beings on the planet. Holy fuck.,04/15/2022,-0.17500000000000002,negative,0,0
Apex,en,iTzKryptYT,,[],"Pubg needs some sort of revive system after being fully dead. Nothing worse than dying off drop and having to sit there spectating for half an hour. 
Definitely kills the mood.
Could do something similar to apex, but maybe have it as a once per match",04/15/2022,-0.15333333333333335,negative,0,1
Apex,en,Bizlog777,"Michigan, USA",['beyondlimits'],"🔴LIVE🔴

NEW SOUND CHANNEL REWARDS!! 😁

Just chatting then APEX!!
@GGLimitless #beyondlimits 

https://t.co/SCEaYT9j6z https://t.co/XXoNUP5nUv",04/15/2022,0.5564630681818181,positive,1,2
Apex,en,LovelyLalo22,,"['ApexLegends', 'twitch']","Happy Friday-eve! I'm live playing more apex! Still trying to finish my challenges and get a dub for @LastAncients . Which by the way if you are wanting to join an amazing org, go check them out and see if it may be your cup of tea! #ApexLegends #twitch https://t.co/IWWPSN0i23",04/15/2022,0.6278409090909091,positive,1,3
