Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
Lol,en,AirtagEyeon,"Philadelphia, PA",[],"@AirtagOscar @CruzaderOnline @liradestemplada @_saintcola Right, jumping into TDM you can just run around and shoot stuff, jump into CS:GO or Valorant or a BR and just running around without paying attention you will just not have fun at all lol",04/17/2022,0.4619047619047619,positive,0,1
Lol,en,Steezy_Ryan,"San Jose, CA",[],@yolo_sw4g420 I'll tag you lol,04/17/2022,0.8,positive,0,1
Lol,en,ChikaTaquito,,[],i need to watch all my seasonals before i fall behind already lol,04/17/2022,0.2,positive,0,0
Lol,en,sevenUto255,“CANADA”,[],@kobenisposting when cuttjgn its liek holding a pen lol…,04/17/2022,0.0,neutral,0,0
Lol,en,yongcatboy,he/him ♡,[],i’m such a terrible person lol,04/17/2022,-0.06666666666666665,negative,0,0
Lol,en,WendyFafata,"Ohio, USA",[],@BrownEab381936 Lol. Thank you🐾❤️,04/17/2022,0.8,positive,0,1
Lol,en,egreco777,"Long Island, NY",[],"@italinquen full beard, this Viking hats on LOL, a he was HUGE!! and hot!",04/17/2022,0.521875,positive,0,3
Lol,en,Sciomancer,"Canada, he/him or she/her",[],@LazzPrivate why are you following some larpy tradcath LOL,04/17/2022,0.4,positive,0,0
Lol,en,cornholdio,,[],@leereEierkarton @SCBuergel @pmarca Lol what? Look at the bitcoin core code and tell me where the “current system” is mentioned,04/17/2022,0.4,positive,0,1
Lol,en,LilyShiroinu,2021/10/2 debuted! ,[],"@Miyazaki_Homura Yeah I think there are many gamers like this lol but actually I’m ok now, I don’t have pain today😄",04/17/2022,0.6,positive,0,1
Lol,en,kaitropica,twenty! ⋆⁺₊⋆ ☾ ⋆⁺₊⋆ ☁︎,[],everyone should just stan me lol jk (not),04/17/2022,0.8,positive,0,1
Lol,en,LULW_POGGERS,,[],@virgosimmeryt Damn lol I’m over here unnecessarily trying to make my game interesting like https://t.co/tPl79UqVOI,04/17/2022,0.125,positive,0,1
Lol,en,CoachingJFL,,[],Whole time I thought Wes Moore was from Baltimore lol,04/17/2022,0.5,positive,0,0
Lol,en,ManningMillz,"Guntown, Mississippi ",[],@BeatinTheBookie Feeling great about my over 40.5 lol,04/17/2022,0.8,positive,0,2
Lol,en,candylady104,,[],@MsJoseline @TheZeusNetwork I want the reunion lol I thought we had the trailer already,04/17/2022,0.8,positive,0,13
Lol,en,NYRocky93,"Knoxville, TN",[],"@DougIsrael2 @NYCTheMiC I mean, he wasn’t on the 4th line. He moved up after Kakko got hurt so it’s actually pretty easy to argue against it lol",04/17/2022,0.29270833333333335,positive,0,0
Lol,en,Sweaty_Cyclone,,[],"@haonfest_art Hm, is that so? Sure hope no big corporation was behind it, lol.",04/17/2022,0.225,positive,0,1
Lol,en,Tonythetiger05,Kellogg’s Headquarters,[],For anyone that cares yes i got the squirtle lol,04/17/2022,0.8,positive,0,3
Lol,en,sparkyandalert,"Washington state, USA",[],"@GettingCooked Lol, yep.",04/17/2022,0.8,positive,0,1
Lol,en,ShaunSussex,phx az,[],@RussReallyWins1 He wants $50 lol,04/17/2022,0.5,positive,0,0
Lol,en,ryusuga_,New Zealand,[],trying to grab the spoon when it's not there. lol https://t.co/Nc7I0XdxWH,04/17/2022,0.8,positive,0,0
Lol,en,officialdickhed,Indyland,[],@npcprincess666 Oh boy sounds like I have plans tonight lol,04/17/2022,0.8,positive,0,2
Lol,en,Roshidrichie1,,[],@Teamuchy @bod_republic Lol 😂 no time comrade,04/17/2022,0.8,positive,0,1
Lol,en,L33kzZz,"New York, USA",[],@Ericutz4thewin this gunna be on your desk or by your collection LOL,04/17/2022,0.8,positive,0,1
Lol,en,bloody_bath_,,[],"Lol, would really talk back if I knew I had my stand. Just working out to the small tears that fell. My younger self must be so proud of me.",04/17/2022,0.25833333333333336,positive,0,0
Lol,en,anormalcollar,onmywayhome,[],@_ourt Jo got him locked up lol,04/17/2022,0.8,positive,0,0
Lol,en,DCSportsDre,At Peace,[],"@DavidBovey If Aliens are real, they can really infiltrate the sea &amp; we wouldn't question it lol we would just assume it's an undiscovered species because of how little we know of the ocean",04/17/2022,0.25312500000000004,positive,0,0
Lol,en,KINGTANIAH,🍊 County,[],@SmoochesNiec_ I used the feel the same so I stopped giving myself to just anybody ! Became celibate &amp; stayed to myself &amp; away from women lol I was doing me when I met my wife lol that says a lot ! Best of luck to you!,04/17/2022,0.7,positive,0,4
Lol,en,Renalovee_,Mind Yo Business Hoe ,[],This girl post a different nigga every 5 months lol,04/17/2022,0.4,positive,0,0
Lol,en,IceT_J,"Texas, USA",[],@DaAbsoluteBest Lmao I only unfollowed relatives on Facebook but I definitely got people and certain words muted on here lol.,04/17/2022,0.32285714285714284,positive,0,1
Lol,en,MOEtivation_,In my skin...,[],@Steveo_zg2 Huh lol i hope it was a fight lol,04/17/2022,0.8,positive,0,0
Lol,en,HankAllen_3,"Knoxville, TN",[],Unreal lol this guy is a tool https://t.co/K5dtYKWzpQ,04/17/2022,0.8,positive,0,1
Lol,en,Dvlsh_Prk,𝓣 🤍💍||𝓙 🌻||𝓐 ☕||𝓣🍓,[],"@thepncrxm Lol, I'm pretty sure that was the very first time I have called you Jaxon https://t.co/z7tNPjkVdV",04/17/2022,0.46875,positive,0,1
Lol,en,emilyetaylor23,,[],"@ClutchStanford @TheFlockIsHot @PacFight I’m messing with you hahah I get it, it was part of the assignment lol",04/17/2022,0.8,positive,0,1
