Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
Valorant,En,AirtagEyeon,"Philadelphia, PA",[],"@AirtagOscar @CruzaderOnline @liradestemplada @_saintcola Right, jumping into TDM you can just run around and shoot stuff, jump into CS:GO or Valorant or a BR and just running around without paying attention you will just not have fun at all lol",04/17/2022,0.4619047619047619,positive,0,1
Valorant,En,_oozie,"Revere, Comprehend",['VALORANT'],4:3 + Neon = ez ace #VALORANT https://t.co/HFG3BfmxPb,04/17/2022,0.0,neutral,1,11
Valorant,En,realisticmario,,[],valorant mootied wya,04/17/2022,0.0,neutral,0,0
Valorant,En,ThePapa_Zan,Friendville,[],@TheGuard @valyngod @trentFPS @Sayaplayer @JonahP_ @neT_valorant @MatthewCElmore @valesports_na can only see you going up from here! GGs keep up the grind.,04/17/2022,0.0,neutral,0,0
Valorant,En,YourBoyTofu,,"['VALORANT', 'smallstreamer', 'BigEnergy', 'LiveOnTwitch', 'SmallStreamersConnect', 'smallstreamersupport']","🔴Valorant But The Lowest IQ Plays You've Ever Seen...

Seriously low level #VALORANT gameplay. https://t.co/DyJxDIRaYm

#smallstreamer #BigEnergy #LiveOnTwitch #SmallStreamersConnect #smallstreamersupport https://t.co/Dwg75gIok9",04/17/2022,0.0,neutral,1,2
Valorant,En,Legacy335,Over There,['Valorant'],"Check out this Valorant clip I recorded with https://t.co/vJ3y8fyKsu! #Valorant

🔗 https://t.co/0Nsfe0WlG5 https://t.co/LLV5GpnWyg",04/17/2022,0.0,neutral,0,0
Valorant,En,MissYayden,,['VALORANT'],"LIVE!! I’m playing some Valorant today!

Starting Mass Effect tomorrow! 

❌link in bio

#VALORANT https://t.co/Ynbog29lAM",04/17/2022,0.13316761363636362,positive,2,16
Valorant,En,stressed_steph,existential dread,"['ENVtuber', 'VtubersEN']","Valorant? Crazy, ain't ever play this game on stream. 
Joined by @TheSieg678 @falsekingdomOR @Zwyx__ @JcShirayuki 

#ENVtuber #VtubersEN 

https://t.co/RkWciBjXtv",04/17/2022,-0.5,negative,0,4
Valorant,En,ItsWishyy,,[],need someone who can edit me a VALORANT TAGE ILL PAY,04/17/2022,-0.5,negative,0,0
Valorant,En,NightmareLJ1,She/her/they/them,[],I just wanted to have a fun time in valorant and I’m eating shit rn,04/17/2022,0.04999999999999999,positive,0,4
Valorant,En,EvilPipsi,,[],"@giikou_ women are very bad at video games 
therefor they play valorant",04/17/2022,-0.9099999999999998,negative,0,1
Valorant,En,ElevatedSpeaks,Working,"['VCT', 'VCTmasters']","Man who spends all day analyzing Valorant happens to understand Valorant. In other news, water is wet. #VCT #VCTmasters https://t.co/FTEfJjzDVh",04/17/2022,-0.1125,negative,2,84
Valorant,En,daykeres,,[],@ai_curio_bot botprompt: valorant,04/17/2022,0.0,neutral,0,0
Valorant,En,NE0NJOYS,"she/her, 8teen",[],"@neT_valorant you dont have to apologize !! you guys did your fucking best, and i’m 100% certain you guys are gonna be back on the big stage in the future &lt;3",04/17/2022,0.24285714285714283,positive,0,0
Valorant,En,Sawa3Rika,,[],@Fulgur_Ovid HOP ON VALORANT LET'S GOOOOO,04/17/2022,0.0,neutral,0,0
