Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
news,en,Dannyql27519,,[],Anyone believes in Real Raw News? Alex Jones is turning on Trump. https://t.co/ye3kxdGrY9,05/02/2022,-0.34615384615384615,negative,0,0
news,en,SusanJBeaton1,"Melbourne, Australia",[],"CSIRO has become ‘extravagant consulting company’, one of its former top climate scientists says https://t.co/9JItCxQyBY",05/02/2022,0.25,positive,0,0
news,en,justinfromWA,PNW,[],@choeshow @hannahkrieg She works for the Stranger. It all makes sense now. I don’t have to even explain why she is doing what she’s doing. The left wing version of gestapo news print and propaganda,05/02/2022,-0.05,negative,0,3
news,en,winwater3,,[],@Selly_ow I hope it is good news!! And enjoy Stockholm!!!,05/02/2022,0.890625,positive,0,1
news,en,ArizBelinda,United States,[],"In 1968, Poland's communist government forced Jews to leave. Today, the country embraces refugees. - CNN Politics https://t.co/ulOWMTzkCV",05/02/2022,-0.30000000000000004,negative,0,1
news,en,TrumpRussiaTies,"Sol, Sector 0, Alpha Quadrant",[],Baerbock Says Sanctions Will Only Be Lifted After Russian Withdrawal https://t.co/JwqiVkngTo,05/02/2022,0.0,neutral,0,0
news,en,markadams84,"Risingsun, OH",[],"Bill Gates is pushing for a new global task force to watch out for future pandemics, claiming the World Health Organization has 'less than 10 full-time people' monitoring outbreaks https://t.co/8KebUpZ2YJ via @Yahoo https://t.co/DT1hIjM2y3",05/02/2022,-0.007575757575757576,negative,0,0
news,en,bitcoinagile,Matter Doesn't Matter,[],CEO of South Korean Crypto Exchange Arrested for Attempting to Steal Military Secrets for North Korea https://t.co/jRmq5UvuoO https://t.co/JldsHIzARs,05/02/2022,-0.1,negative,0,0
news,en,MadrasTribune,"Chennai, India","['MadrasTribune', 'News', 'BreakingNews']","Hrithik Roshan goes on a lunch date with ex-wife Sussanne Khan to celebrate son Hridaan’s birthday; PICS - The Madras Tribune 
#MadrasTribune #News #BreakingNews
https://t.co/RXsuc8fAuZ https://t.co/OU4mf83z9C",05/02/2022,0.0,neutral,1,0
news,en,fernandobassi,"São Paulo, Brasil",[],@edumilsonpapo10 Fake News,05/02/2022,-0.5,negative,0,0
news,en,GeorgeG55164731,,[],@antiputler_news Sounds like a purge to me,05/02/2022,0.0,neutral,0,0
news,en,nighthawkins,Edinburgh,[],"Yet hippocrate @Keir_Starmer was on TV today being so righteous.

Labour lied about Angela Rayner being at Beergate bash because they’re ‘very busy’, party chiefs claim
https://t.co/Jka0VFdbWa

Download Now
https://t.co/0LcQmkRFdn",05/02/2022,0.13,positive,1,0
news,en,hublimandi,"Dharwad, India",[],Mangaluru gets air connectivity with Hubballi - The Hindu https://t.co/vJgU40pGS2,05/02/2022,0.0,neutral,1,8
news,en,Damari303030,,[],Republican senators sold off stock after getting closed-door briefings about how bad the coronavirus outbreak was going to be. https://t.co/VP3YQuQveY,05/02/2022,-0.6999999999999998,negative,0,0
news,en,Sken_Pitilkin,,[],@ROYA__Ro @HighImpactFlix @Know_More_News @CultureWarsMag Where did you get 30 years from? The article clearly states 70 years and that's including teachers. Also it doesn't give us a per capita to compare it to other professions/organizations.,05/02/2022,-0.01249999999999999,negative,0,0
news,en,HRNSW_Harness,"Bankstown, Sydney NSW",['Canberra'],"🏁 We are racing at #Canberra tonight

📝 Race 1 - 6:04pm
🗞️ Racing news by @Amanda_Rando  ⬇️
📨 Best bets by @iForm_Express ⬇️

https://t.co/vq5RsMUd8c",05/02/2022,1.0,positive,0,0
news,en,DistroHopper39B,covid haver,[],@Blackmagic_News Hyped for the full release!!,05/02/2022,0.546875,positive,0,1
news,en,ashby_rico,"Virginia, USA",[],@Acyn You won’t see this gaffe on Faux News.,05/02/2022,0.0,neutral,0,0
news,en,bananahateclub,they/them,[],@lickilicky_fan LON WHY WOULD YOU GO ON THURSDAYYYYYY IM NOT GONNA BE HERE ON THURSDAY THIS IS TERRIBLE NEWS,05/02/2022,-1.0,negative,0,1
news,en,FloLake,North Carolina ,[],"They haven’t finished college, but 3 students are running for office in South Carolina https://t.co/bBsdRNxiI8",05/02/2022,0.0,neutral,0,0
