Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment,Totalretweet,Totalfavorite
news,th,PostToday,"Bangkok,Thailand","['ทุเรียน', 'ผลไม้', 'มังคุด', 'เงาะ', 'ลองกอง']",ผลไม้ทุเรียน มังคุด เงาะ และลองกอง เพิ่ม 32% #ทุเรียน #ผลไม้ #มังคุด #เงาะ #ลองกอง via @PostToday https://t.co/tK09No1Agc,05/01/2022,neutral,1,5
news,th,LjLyx,,[],@huang_huixian @vaewcando @topedik020 @j_wiroon @Peace_p1989 @kenlain1 @go8dmornin9 @piggaGinnie @toptvthailand @PMOC10 @TipananOfficial @prayutofficial @Rachadaspoke @ttraisuree @DOO_RTA @armypr_news ก็ปล่อยให้เค๊าเลื้อยไป ที่อยู่เค๊าสักวันก็คงร้อนไฟเผา เราออกห่างๆ มายืนคุยกันทางนี้🤣,05/01/2022,neutral,0,7
news,th,MsocietySocial,,[],"พม. จับมือ มช. และ วช. ผลักดันพลังต่างวัยสร้างชาติ “เกษียณมีดี”
https://t.co/yHDTruh4XI https://t.co/lHria4rpbE",05/01/2022,positive,0,0
news,th,tnnthailand,Bangkok,"['ฝนตก', 'สภาพอากาศ', 'พยากรณ์อากาศ', 'TNN', 'TNNONLINE', 'TNNThailand', 'TNNช่อง16']","พยากรณ์อากาศวันนี้และ 7 วันข้างหน้า ฝนฟ้าคะนองทั่วไทย กทม.ฝนตก 60% ของพื้นที่
https://t.co/XXeGUvJNBu

#ฝนตก #สภาพอากาศ #พยากรณ์อากาศ #TNN #TNNONLINE #TNNThailand #TNNช่อง16 https://t.co/5iSKBe2MCX",05/01/2022,neutral,3,10
news,th,jisooth_news,,"['JISOO', '지수']","จีซู จะเข้าร่วมงานเปิดร้านป๊อปอัพ Dior Seongsu-dong

 #JISOO #지수 https://t.co/lWJ1Zv6SOw",05/01/2022,neutral,199,193
news,th,huang_huixian,,[],@LjLyx @vaewcando @topedik020 @j_wiroon @Peace_p1989 @kenlain1 @go8dmornin9 @piggaGinnie @toptvthailand @PMOC10 @TipananOfficial @prayutofficial @Rachadaspoke @ttraisuree @DOO_RTA @armypr_news แค่ก้มจะพอหรอบางทีอาจจะต้องเลื้อยไปกับเค้าด้วยหรือเปล่า,05/01/2022,neutral,1,8
news,th,theblack2515,,[],"1 พ.ค. บัตรสวัสดิการแห่งรัฐ บัตรคนจน มีเงินโอนเข้า เช็กรายละเอียดได้เท่าไหร่
https://t.co/2JEX6kehjc",05/01/2022,positive,0,0
news,th,jisooth_news,,"['JISOO', 'JISOoxDiorFall22', '디올x지수_이화여대패션쇼', 'jisoo']","""Christian Dior"" เข้าสู่แบรนด์ชั้นนำระดับโลกที่ #1 โดย #JISOO ครอบคลุมหัวข้อที่เกี่ยวข้องต่างๆ ทวีตของ @Dior กับ จีซู ยังเป็นการสนทนาที่มีส่วนร่วมมากที่สุดในงานนี้อีกด้วย

 EWHA DIOR SHOW WITH JISOO
 #JISOoxDiorFall22 #디올x지수_이화여대패션쇼 #jisoo https://t.co/vQpZ72KH2s",05/01/2022,positive,144,183
news,th,thaipost,Thailand,['กรองสถานการณ์'],"นายกฯคนนอกเขย่า'บิ๊กตู่' แผนสำรองในใจ'บิ๊กป้อม'? https://t.co/gDjK8WrWkM 
#กรองสถานการณ์",05/01/2022,neutral,1,3
news,th,Thansettakij,"จตุจักร, กรุงเทพมหานคร","['COVID19', 'โควิด19', 'โควิดวันนี้', 'ฐานเศรษฐกิจ']","รวมข่าว ""โควิด-19"" วันที่ 1 พฤษภาคม 2565 แบบอัพเดทล่าสุด #COVID19 #โควิด19 #โควิดวันนี้ #ฐานเศรษฐกิจ
https://t.co/58975rdmId",05/01/2022,neutral,0,1
news,th,daradaily,"Bangkok, Thailand","['แตงโม', 'แตงโมภัทรธิดา', 'แตงโมนิดา', 'ดาราเดลี่', 'daradaily', 'ข่าวบันเทิง', 'melonpofficial', 'แตงโมต้องได้รับความยุติธรรม', 'เพื่อภัทรธิดา3', 'แซน', 'หนิงปณิตา']","“แซน” เดือดโพสต์แบบนี้ถึง “จิน” สามี “หนิง ปณิตา” หลังเจอคอมเมนต์แรง

อ่านข่าวต่อ : https://t.co/glTUVoPrtN

#แตงโม #แตงโมภัทรธิดา #แตงโมนิดา #ดาราเดลี่ #daradaily #ข่าวบันเทิง #melonpofficial #แตงโมต้องได้รับความยุติธรรม #เพื่อภัทรธิดา3 #แซน #หนิงปณิตา",05/01/2022,negative,2,9
