Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
ข่าว,th,9_JPran,,[],@gib1matchty กรุงเทพได้ข่าวว่าหนัก,04/19/2022,66.67,negative,0,0
ข่าว,th,PlewSeengern,,['ผักกาดหอม'],"“มิลลิ” จะเสียก็เพราะกองเชียร์นี่แหละ
เพราะเอามัน บวกกับความเข้าใจต่ำ งับเฟกนิวส์เข้าให้
สำนักข่าวหลัก ทีวีหลายช่อง ลอกข่าวมาปั้นเป็นตุเป็นตะ ฝรั่งอเมริกันเข้าแถวยาวเหยียด เพื่อซื้อข้าวเหนียวมะม่วงหลัง “มิลลิ” เอาไปโปรโมต 

ข้าวเหนียวมะม่วง-#ผักกาดหอม https://t.co/PDMfIFMVyt",04/19/2022,96,negative,8,19
ข่าว,th,aec10news,,[],สรุปข่าวประจำวันที่ 19 เมษายน 2565 https://t.co/53jfo8pkct,04/19/2022,0,,0,0
ข่าว,th,cartoonyuna,♡,[],รำคาญข้าวเหนียวมะม่วง หลายวันแล้วอะ มันไม่มีข่าวอื่นแล้วจริงดิ,04/19/2022,80,negative,0,0
ข่าว,th,vapee,,[],น้ำมัน WTI ปิดพุ่ง $1.26 รับข่าวลิเบียระงับการผลิต https://t.co/WADgLRnxiF,04/19/2022,66.67,negative,1,0
ข่าว,th,koi_meaw,Thailand,[],ตำราอาหารของกัมพูชา​ได้ข่าวว่าถูกทำลายไปตั้งแต่ยุคเขมรแดงแทบไม่มีอาหารที่เป็นเคาท์เจอร์ของตัวเองจนมีคนรุ่นใหม่พยายามเดินทางไปรวบรวมสูตรจากคนแก่ที่มีชีวิตเพื่อฟื้นฟู​วัฒนธรรม​อาหาร https://t.co/6mPL0uLqaO,04/19/2022,66.67,negative,4,2
ข่าว,th,tnnthailand,Bangkok,"['TNN', 'TNNThailand', 'TNNช่อง16', 'TNNONLINE']","พยากรณ์อากาศวันนี้และ 7 วันข้างหน้า เตือนทั่วไทยรับมือพายุฤดูร้อน ฝนถล่มลมแรง
อ่านข่าวเพิ่มเติม
https://t.co/XXeGUvJNBu
#TNN #TNNThailand #TNNช่อง16 #TNNONLINE https://t.co/Aw41fMzqsv",04/19/2022,80,negative,3,14
ข่าว,th,suchainews,"15.242411,104.851481",[],"รวมข่าวอุบลฯ รวมข่าวอุบลฯ EP.156 : 19-04-65
อ่านรายละเอียด กดลิ้งค์ : https://t.co/hYz99yhHHd https://t.co/BYnb3O8fDQ",04/19/2022,0,,0,0
ข่าว,th,memo_mether,,[],รายงานข่าวเช้านี้ ยังไม่หายดีเลยสาว🥲 แต่ดีที่มันดีขึ้นมากกว่าตอนเที่ยงคืน,04/19/2022,93.1,positive,0,0
ข่าว,th,thaich8news,"Bangkok, Thailand","['ข่าวช่อง8', 'อดีตนางงาม', 'ขอนแก่น']","อดีตนางงามไหมขอนแก่นถูกไรเดอร์ลวนลาม

ดูข่าว : https://t.co/VLt8rL1ajw

#ข่าวช่อง8 #อดีตนางงาม
#ขอนแก่น https://t.co/U4MKu2qg34",04/19/2022,66.67,negative,1,8
ข่าว,th,InfoQuestNews,"Bangkok, Thailand","['WTI', 'ราคาน้ำมัน', 'น้ำมันWTI', 'อินโฟเควสท์']","น้ำมัน #WTI ปิดพุ่ง $1.26 รับข่าวลิเบียระงับการผลิต https://t.co/UWohMeVknt 

 #ราคาน้ำมัน #น้ำมันWTI #อินโฟเควสท์",04/19/2022,66.67,negative,2,2
ข่าว,th,wanoki2,,"['BamBamxGSW', 'BamBam']","WOW วันนี้ข่าวน้องแบมเยอะมาก  🔥🔥🔥
#BamBamxGSW 
#BamBam @BamBam1A
 https://t.co/z8bWqOqyH8",04/19/2022,0,,11,5
ข่าว,th,Chu_OnlineNews,Thailand,[],"“คริสเตียโน โรนัลโด” แจ้งข่าวเศร้า ภรรยาคลอดลูกฝาแฝดแล้ว แต่แฝดชายเสียชีวิต ส่วนแฝดหญิงปลอดภัย ซึ่งเป็นความเจ็บปวดอย่างยิ่ง แต่การเกิดของลูกสาวจะทำให้เรามีพลังใช้ชีวิตให้ผ่านไปได้  

เราทุกคนเสียใจกับความสูญเสียนี้และเราขอความเป็นส่วนตัวในช่วงเวลาที่ยากลำบากนี้ https://t.co/DXkoCg5RFt",04/19/2022,98.63,negative,47,37
ข่าว,th,UnixFT,,[],ยามเช้าอย่าเปิดทีวีดูข่าว,04/19/2022,0,,0,5
ข่าว,th,wnxp_,판윙 젠잼 성찬용(ㅅ´ ˘ `)♡,[],มะใช่รุมเมทกันละเบ๋อ หรือแค่ข่าวลือออ แต่หอดรีมคือแทบไม่เหลือใครละ😂,04/19/2022,0,,0,1
ข่าว,th,babyAOMsky,"love r, j , s, h, j, j, v ",[],ฟังข่าวตอนเช้า น้ำมันยังมีท่าทีจะขึ้นอีก แล้วมะวานประกาศขึ้นราคาอีก80ตัง โคตรพ่อโคตรแม่ขูดรีด อิเหี้ย,04/19/2022,94.74,negative,0,0
ข่าว,th,Lookkadeka,"จ.ปทุมธานี, ประเทศไทย",[],เดียวนะ ตอนนี้รีข่าวไม่หมด,04/19/2022,0,,0,0
