Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment,Totalretweet,Totalfavorite
ข่าว,th,dreamissu,personal acc ,[],กุดุข่าวตอนเช้าก้ตกใจเรื่องไม้ตักลองละ ทำไมเอาไปไว้ตรงตูด 😅😅😅,04/24/2022,negative,0,0
ข่าว,th,daradaily,"Bangkok, Thailand","['ดาราเดลี่', 'daradaily', 'ข่าวบันเทิง', 'ชมพู่อารยา', 'น้องอาบิเกล', 'อาบิเกล']","แห่เมนต์ “น้องอาบิเกล”  แฝดพี่ยุ 

อ่านข่าวต่อ : https://t.co/f6vw5hslRV

#ดาราเดลี่ #daradaily  #ข่าวบันเทิง  #ชมพู่อารยา #น้องอาบิเกล #อาบิเกล",04/24/2022,neutral,0,17
ข่าว,th,thaich8news,"Bangkok, Thailand","['ข่าวช่อง8', 'พระ', 'ดื่มเหล้า', 'ร้องคาราโอเกะ']","ใส่สบง แล้วทรงคาราโอเกะ เจ้าคณะอำเภอ พร้อมพระลูกวัด ตั้งวงดื่มเหล้า ถือไมค์ร้องคาราโอเกะ อ้างแค่ดื่มคลายปวดกล้ามเนื้อ และร้องไปแค่เพลงเดียว

ดูข่าว : https://t.co/MKGUs4v0Cz

#ข่าวช่อง8 #พระ
#ดื่มเหล้า #ร้องคาราโอเกะ https://t.co/vi67ttBGur",04/24/2022,negative,3,5
ข่าว,th,miniiboo__,🐰·˚ 𝗷𝗸𝗯𝗼𝘁𝘁𝗼𝗺❦  -🌷,[],เราตื่นมาพร้อมกับข่าวดี,04/24/2022,neutral,0,0
ข่าว,th,bubblebubuxem,,['EarthPirapat'],เช้ามาก็มีข่าวดีเลย ดีใจด้วยนะคนเก่ง 👏🏻👏🏻👏🏻 @Earth_Pirapat รอชมผลงานของเทอเรื่อย ๆ น้า เติบโตขึ้นเยอะเลยนะเทอ morning sunday kaa🌞🤎 #EarthPirapat https://t.co/COXMHzLm34,04/24/2022,positive,1,0
ข่าว,th,myindylion,,[],เป็นเหตุผลนึงที่ไม่ได้ดูซีรีย์ไทย หนังไทย เกมส์โชว์ไทย ข่าวไทย (บางสำนัก)​มานานนล่ะ https://t.co/ZDsJTgpw2P,04/24/2022,neutral,0,0
ข่าว,th,jonato94348849,,[],Talking Thailand - คุกคามสื่อ! รุมทำร้ายช่างภาพ-สกัดกั้น 'วอยซ์' เสนอข่าว https://t.co/ER2MA80c2D via @YouTube,04/24/2022,negative,0,0
ข่าว,th,RadioCacaThai,Thailand,"['RACA', 'USM', 'Metaverse']","แหล่งข่าวจาก NullTX 📰 อ้างอิงข้อมูลสถิติ CMC ยอดมูลค่าเหรียญ RACA อาจจะเพิ่มขึ้น 20% จากนักลงทุน

อ่านรายละเอียด
https://t.co/7rYqwzEcOT

@RadioCacaNFT #RACA #USM #Metaverse https://t.co/Y47ThFbl69 https://t.co/bw0PSOjW2z",04/24/2022,neutral,1,4
ข่าว,th,neussamut,,[],@nxnnuexzq เฟคนิวส์อะไรคะนี่ข่าวจริงเลยค่ะ,04/24/2022,negative,0,0
ข่าว,th,insilence2307,,['EarthPirapat'],ตื่นมาเจอข่าวดีเลย ดีใจที่จะได้เห็นพี่ในบทบาทอื่นๆ แล้วทีมนี้คือผู้สร้างเรื่องเล่ห์แค้นคือจะบอกว่าทำดีมาก เราดูยังชมเลยว่าทำซีรี่ส์ออกมาสนุกจริง จะรอติดตามนะคะ #EarthPirapat,04/24/2022,positive,12,4
ข่าว,th,puepuexx,,[],แต่ก่อนกูทุ่มเทกับการเป็นติ่งมากเลย บังทันมีโหวตมีออกงานกูตามตลอด ไม่ออกจากทวิตเลย ตามข่าวและสนับสนุนตลอดเลย แต่พอหลังๆมานี้กูไม่ได้ตามข่าวเลย ไม่รู้เลยว่ามีงานอะไรบ้าง นี่ว่าน่าจะเพราะกูเองมีภาระงานที่เยอะไม่มีเวลาเหมือนแต่ก่อน เรียนหนักด้วยมั้ง แต่ก็ยังรักเค้าตามเค้าเหมือนเดิม,04/24/2022,positive,0,0
