Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment,Totalretweet,Totalfavorite
งาน,th,Au40236042,,[],@emmaarbuda @BamBam1A ขอบคุณคุณปอและทีมงานที่จัดงานที่น่ารัก ทำ ปจ.นี้ขึ้นมาเพื่อน้องแบม แล้วน้องรับรู้ในสิ่งที่ทุกคนส่งไปถึงน้องค่ะ https://t.co/Xsrd0dbipG,05/02/2022,positive,0,1
งาน,th,marylivinghere,,[],ห่างแต่เพียงเอื้อมมือ แต่งานกองท่วมหัวมากค่า ;-;,05/02/2022,negative,0,0
งาน,th,xtingjeen_,ประเทศไทย,[],@FasiJune จริงค่ะ อยากให้เงินเราไปถึงเขา อยากสนับสนุนผลงานทุกๆอย่างเลย,05/02/2022,positive,0,1
งาน,th,Snailworld3,,[],กรี๊ดแล้ว มีงานที่แฟชั่นด้วย!! https://t.co/khHnHsANgX,05/02/2022,positive,0,0
งาน,th,PhngsPhrswrrkh,,[],@ThaiTicketMajor @Poongpoong_JB กี่งานไม่รู้อ่ะค่ะ แต่got7 ต้องมาแล้วค่ะ😂😂 ยังหวัง,05/02/2022,neutral,0,0
งาน,th,almonade_m,"Sukhothai, Thailand",[],เฮ้อ งานเดดไลน์เมื่อคืน เริ่มทำตีห้าวันนี้ เพราะกูไม่รู้จะเริ่มยังไงดี สรุป ไม่เอ กูไห้แน่,05/02/2022,neutral,0,0
งาน,th,104UGCHAKO,,[],เคขะ แม่เห็นผลอีบาส้าแล้ว แม่ตาย(คางานมหาลัย)ตาหลับแล้ว ขอบคุณคะ,05/02/2022,positive,0,0
งาน,th,zhilin1805,,[],ทำไมเน่เน่ต้องพูดตลอดว่า ฉันหวังว่า หวังว่าจะได้อยู่ร่วมกันกับพวกเค้า หวังว่าจะได้ไปด้วยกัน ทั้งๆที่เป็นงานวง ต้องได้ไปด้วยกันอยู่แล้ว แต่วาจีแกเลือกรับงานอะไรแบบนี้อะ ? งานวงก็ไม่ค่อยมี งานเดี่ยวก็ไม่หาให้ อีก2เดือนแค่นั้นแหละ พอกันที,05/02/2022,negative,1,1
งาน,th,konwaang,,[],ยุนอาเริ่ทอ่านบทหนังเรื่องใหม่แล้ว งานรัวมากปังๆนะ,05/02/2022,neutral,0,0
งาน,th,BBnui1a,,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","สุขสันต์วันเกิด ขอให้สุขภาพแข็งแรง มีความสุขมีความเจริญก้าวหน้าในการงาน และสมหวังในสิ่งที่ปรารถนาทุกประการนะครับน้องแบมคนเก่ง💖🎂🥳🎈✨

220502 BAMBAM DAY 
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A https://t.co/mbnKl3JCxs",05/02/2022,positive,61,27
งาน,th,NuNetflix,,"['พร้อมส่ง', 'ลดราคา', 'หาบ้านNetflix', 'หาคนหารnetflix', 'Netflixต่อเมลเดิม', 'Netflix', 'หารnetflix', 'NetflixTH', 'netflixราคาถูก']","NETFLIX Premium 4K #พร้อมส่ง #ลดราคา
👉ว่าง 1จอ

🌷 36 วัน  :  115฿

🍠แอคไทยแท้💯
🥓ไม่ต้องรอคนครบ 
🥞ต่อเมลเดิมได้
🍗จอส่วนตัว
🍍รับประกันการใช้งาน

📩สนใจdmมาเลยค้าบ

#หาบ้านNetflix #หาคนหารnetflix #Netflixต่อเมลเดิม #Netflix #หารnetflix #NetflixTH #netflixราคาถูก",05/02/2022,positive,0,0
งาน,th,NuengMT93,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@BamBam1A 
สุขสันต์วันเกิดขอให้สุขภาพที่แข็งแรง การงานก้าวหน้า เจริญรุ่งเรือง 
 ขอให้ในปีนี้มีแต่เรื่องดีๆ เข้ามา สมหวังตามเป้าหมายที่ตั้งใจไว้ทุกประการ 
ขออวยพรและครอบครัวประสบความสำเร็จ ชีวิตประสบแต่ความสุขความเจริญ
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해  
#BamBam https://t.co/ZKb6WK4QjW",05/02/2022,positive,0,0
งาน,th,natthatank,Somewhere on earth,[],@OhmSlytherin กูจะหลับแต่งานก็ปลุกกูไม่หยุด 🥹,05/02/2022,neutral,0,0
งาน,th,Tungbeer9,,['JACKBAM'],@Drxxm_Vnsr สุขสันต์วันเกิดนะครับคนเก่ง 🧁🧁🧁 ขอให้น้องแบมมีแต่สิ่งดีๆเข้ามาในชีวิต การงานราบรื่น สุขภาพแข็งแรง มีความสุขในทุกๆวันนะครับ รักกก 💚💚💚 #JACKBAM,05/02/2022,positive,0,0
งาน,th,iamaomfrommars,mars,[],บีกินเน่อของดิชั้นคือเริ่มเขียนงานสัดทีเถอะค่ะ พิรี้พิไรมาทั้งวันแล้ว,05/02/2022,neutral,0,1
งาน,th,itiskerfuffle,,[],หน้าตาเค้ก นึกว่าของเหลืองาน St. Patrick เขียวเชียว55555 https://t.co/q5kEvsOTSf,05/02/2022,neutral,0,0
งาน,th,44coffeecup,,[],@Demon21White จะบอกไร้ท์ว่า ตั้งแต่ได้อ่านมหาลัยครึ่งมนุษย์ในเมป ก็คอยตามผลงานไร้ท์นะคะ เข้ามาวงการ รอร ก็เพราะไร้ท์นี่แหละ 5555,05/02/2022,neutral,0,1
งาน,th,mina52241964,"จ.ปัตตานี, ประเทศไทย","['ปัตตานีรับงาน', 'รับงานปัตตานี', 'รับงานปัตตานี', 'สาวรับงานปัตตานี']","#ปัตตานีรับงาน 
#รับงานปัตตานี
#รับงานปัตตานี
#สาวรับงานปัตตานี 
💸พร้อมรับงาน ว่างยุนัดได้ค่ะ💸

🆔ไอดีไลน์ me8989me
☎️โทรสายตรง 0924210204
💸จ่ายหน้างาน 💸หญิงแท้แน่นอน วัคซีนครบ ✅ ฟิวแฟนนน https://t.co/cRQZ9yLQ1Q",05/02/2022,positive,0,7
งาน,th,ktaplk,,[],ขอให้ข้าพเจ้ามีความสุข สุขภาพแข็งแรง การงานดีมาก รวย ชนะ ไร้อุปสรรค ปลอดภัยทุกด้าน ข้าพเจ้าคิดทำพูดสิ่งใดขอให้ประสบความสำเร็จสมดังปรารถนาทุกประการด้วยเทอญ สาธุ สาธุ สาธุ 🙏🙏🙏💜 https://t.co/oIpG24lMBZ,05/02/2022,positive,0,0
งาน,th,onyourmew,personal account,[],มีคนเห็นด้วยกับทวิตแสนฟอลคนนั้นเยอะกว่าที่คิด พูดแบบไม่ไบแอสนะ ‘ รอดไม่กี่เพลง ’ อ้นนี้โคตรจะดูถูกผลงานเค้าเลย555555555 บ่นเพลงลงทวิตได้ไม่มีใครว่าไรหรอก แต่คำพูดรุนแรงไป(มาก)อะ ถ้าใครบอกวิจารณ์แค่นี้รับไม่ได้งั้นลองวง มึง มึง มึง และมึง โดนละกันนะงับ อย่าให้เห็นว้อแตกน้า,05/02/2022,negative,0,0
งาน,th,theprfcteden,,[],ชอบจริงๆนะ วงที่มีสตอรี่อะไรต่างๆที่เอามาจากวรรณคดี บทประพันธ์ ภาพวาดงานศิลปะ ความเชื่อหรืออะไรก็ตาม ให้คนได้วิเคราะห์กัน โครตเจ๋ง,05/02/2022,positive,0,0
งาน,th,CYPIJWTBFGHPAG,EXOPLANET,[],นิกฟิวรี่กุงงสุดแบ้ว แล้วจากบทความจะหัวแข็งหรือบอสซี่ก็ดูตอบได้ เพราะวจความคือชีสั่งงานปีเตอร์โดยที่ก็รู้ว่าน้องมาเที่ยวกับโรงเรียน โอ่ย,05/02/2022,negative,0,0
งาน,th,yeembabie,ประเทศไทย,"['รับทําการบ้าน', 'รับทำรายงาน', 'รับทําวิจัย', 'การบ้าน', 'รับจ้างทําการบ้าน', 'รับทําการบ้านมหาลัย', 'รับทำExcel']","✨🌞 Morning Monday 🌦🌦   เปิดร้านแล้วน้า ส่งตัวอย่างมาดูก่อนได้ค่ะ  🌘รับทำงานเอง ไม่โยนงาน 🌓 #รับทําการบ้าน #รับทำรายงาน #รับทําวิจัย #การบ้าน #รับจ้างทําการบ้าน #รับทําการบ้านมหาลัย #รับทำExcel

🌫 รับทำการบ้านทั่วๆไป 
🌫 งาน Excel งาน รัน SpSS
🌫 งานวิจัย และรายงาน https://t.co/yxfOdvRkEP",05/02/2022,neutral,0,0
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@peachy1M @BamBam1A HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A",05/02/2022,positive,0,0
งาน,th,Laddawa49620939,,"['KingDoubleBDay', 'BamBam']","@520beam @sweet_0 @BamBam1A 220502 BAMBAM DAY🎉
พี่แบมของมี้มีความสุขสมหวังการงานสำเร็จเเข็งเเรงค้าบ
#KingDoubleBDay
#BamBam",05/02/2022,positive,0,0
งาน,th,zhanghanxn,วัลลภา,[],ตื่นเช้ามาชมความน่ารักของน้องหยางหยาง เทียบท้าที่น้องเล่นฉันยังไม่ดูเลย ดันชอบดาราจีนแต่ไม่ชอบดูซร.จีน เหตุผลที่ว่าทำไมชอบติ่งพวก k-popหรือ偶像 เพราะว่าแค่ตามงานเขาถ้ามีซร.ก้ดูได้เพราะไม่เยอะ แต่พอมาตามดาราจีน ก็คือทั้งรักทั้งฝืนอะ อยากดูก็อยากแต่พอดูแล้วก็ไม่ไหว เนื้อเรื่องเยอะ,05/02/2022,positive,0,0
งาน,th,becrytanned032,Monterrey,[],"🐴แถว550 ❄️G900 ของมีพร้อมส่งรับประกันงานดีดีดๆเงี่ยนๆ👌เครดิตส่งงานแน่นๆ ❤️
ทักไลน์เท่านั้น(ทวิตไม่เด้ง)
ไอดีไลน์ Tankooi1992 
มีอุปกรณ์พร้อมใช้งานขายด้วย🔥 https://t.co/Ah0nJIkx2Q",05/02/2022,positive,0,1
งาน,th,suthatip_ms,,[],อมกปลื้มปริ่มอะแค่รู้ง่างานเดียวกันก็โอเคแล้วอะ มันแบบ😭😭😭,05/02/2022,positive,0,0
งาน,th,BBTheOnly1,"เชียงราย, ประเทศไทย","['รับงานเชียงราย', 'วันนี้', 'เย็นนี้', 'นัดเชียงราย']","วันนี้รับงานนะ 🤗🥰 ว่างตั้งแต่เช้า รับถึง5 โมงเย็น
พิกัด...ในตัวเมืองเชียงราย
#รับงานเชียงราย  🤡🤡 ☺️♥️💙
#วันนี้ #เย็นนี้ #นัดเชียงราย 🎉🎉",05/02/2022,neutral,0,9
งาน,th,_pirsnag,,[],เอาไว้หนุสมัครงานเอเจนเเล้วค่อยหม้คำปรึกษานะ กุเหน่ยมากกก เเล้วเเต่ละคนคือคุยกับเอเจนเเล้วเเต่อยากถามคนไปจริง คือหนุก็เข้าใจนะ เเต่บางคำถาม ถามเอเจนเถอะ เช่นค่าเรื่องค่าใช้จ่ายวีซ่างิ,05/02/2022,positive,0,0
งาน,th,JJK_DIARY,,[],งานใกล้มาถึงแล้ว เมื่อไรจะประกาศวันกดบัตรกับผังงาน https://t.co/XStDTixvVa,05/02/2022,neutral,0,4
งาน,th,PrayTikky,,"['คนของแปลน', 'PlanRathavit']","สู้ๆกับงานให้เต็มที่นะครับแปลน 
แล้วก็สามารถแก้ไขทุกๆปัญหาหรือทุกอุปสรรคไปได้อย่างราบรื่น :3

อยากเห็นรอยยิ้มที่น่ารักของแปลน 
คิดถึงเสมอ

#คนของแปลน #PlanRathavit https://t.co/zfpEC23bI2",05/02/2022,positive,48,36
งาน,th,LaddaChoi,"กรุงเทพมหานคร, ประเทศไทย",[],@_cb_cyj เราเป็นคนนึงนะที่ชอบมากเวลายองแจร่วมงานกับผู้หญิง น้องมินนี่ น้องเยบิน น้องฮายอง พี่ชเวเลือกสักคนสิคะ ถึงใจจะเจ็บแต่ก็ฟินดีนะ,05/02/2022,positive,0,0
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@Anny_SeeUBam @BoonjitKanda @BamBam1A HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A",05/02/2022,positive,0,0
งาน,th,104UGCHAKO,,[],แต่อีบาส้า พี่สเตเก้นทรงงานอย่างหนักอีกแล้วนะ,05/02/2022,neutral,0,0
งาน,th,MPP_Angel,"กรุงเทพมหานคร, ประเทศไทย",[],มุแง้น้องกรไปงานรับปริญญา​พี่คิม แต่โคสจะบอยเฟรนแมททีเรียล น้องกรอย่ามาเห่งกับมัมหมีนะ https://t.co/tqmfnlWm3A,05/02/2022,neutral,0,3
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@jarja_cj HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A",05/02/2022,positive,0,0
งาน,th,itiskerfuffle,,[],ไปงานวันเกิดเด็กมา กินข้าวกลางวันไปนิดเดียว แต่ด้วยความที่ข้างนอกมันหนาวเลยอุ่นนมกินแก้วนึง เวรมาก ความ lactose intolerance เล่นงานชั้นไม่หยุด,05/02/2022,negative,0,0
งาน,th,GNCD_Thailand17,,"['GoldenChild', 'GoldenChild', '골든차일드', 'RATA_TAT_TAT']","220501 [📸] chasonh1122 Twitter Updates :

#GoldenChild real showcase 2022 
ภาพในงาน Showcase ที่ญี่ปุ่นเมื่อคืนที่ผ่านมาค่ะ ขอบคุณพิธีกรที่ทำงานอย่างหนักนะคะ 😊😊
 
#GoldenChild #골든차일드
#RATA_TAT_TAT https://t.co/uwuvbp9oSP",05/02/2022,positive,11,7
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@little_Tuan93 @BamBam1A HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A",05/02/2022,positive,0,0
งาน,th,Pig_Nattha, Thailand ประเทศไทย,[],"เจ๊อายุ 40 หน้าเด็กกว่าฉันอายุ25อีก 🥹🥹🥹🥹🥹🥹🥹

โอเคจ้าาาา งานวิตามินผิวแบบกิน แบบทา ต้องมาให้ครบแล้วแหละ หมดเงินหร่บาทไม่ว่าแต่มีรอบตีนกาตอน25นี่รับไม่ได้แน้ว",05/02/2022,negative,0,0
งาน,th,Serieforn,ประเทศไทย,"['2OClockDate', 'อันโบฮยอน', 'ยุนอา', 'YOONA', 'AhnBoHyun', 'LimYoona']","ภาพวันอ่านบท ภาพยนตร์ #2OClockDate

ซึ่งได้เริ่มถ่ายทำกันไปแล้ว
นำแสดงโดย #อันโบฮยอน #ยุนอา
 
""ผมดีใจและตื่นเต้นที่จะได้ใช้เวลาหน้าร้อนร่วมกัน อีกครั้งหลังจากที่เคยได้ร่วมงานกันใน Exit"" คำพูดที่ผู้กำกับอีซังกึน กล่าวถึง #YOONA 

https://t.co/S3p1c3ja1Y

#AhnBoHyun #LimYoona https://t.co/sElbasOnbk",05/02/2022,positive,6,8
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@bambam_believe @jydefean @BamBam1A HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A https://t.co/XdvczPIdW5",05/02/2022,positive,0,0
งาน,th,RabMxs,,"['ชายแท้รับงาน', 'ชายแท้ร้อนเงิน', 'ชายแท้รับงานเกย์', 'ชายแท้แพ้เงิน', 'ชายแท้รับงานผู้หญิง', 'ชายแท้รับงานกทม', 'ชายแท้รับงานสมุทรสาคร']",ชายแท้ 56. ไอดี 0915662578 รับงานทุกูปแบบครับ🤗🤗🤗🤗 #ชายแท้รับงาน #ชายแท้ร้อนเงิน #ชายแท้รับงานเกย์ #ชายแท้แพ้เงิน #ชายแท้รับงานผู้หญิง #ชายแท้รับงานกทม #ชายแท้รับงานสมุทรสาคร https://t.co/GoNKbT0at9,05/02/2022,positive,5,9
งาน,th,Flymetoyourhome,ทาสรักน้องเค้ก,[],ตอนงานนู้นทำเสตจไซโค แต่ใช้ไฟเหลือง แตมบู้บี้ว่าเป็นเสตจของพ่อ แต่สรุปเสตจจริงเขาใช้สีม่วงเลยเปลี่ยน😰🥶,05/02/2022,neutral,0,0
งาน,th,HthaySum,,"['อิงฟ้ามหานคร', 'อิงฟ้าวราหะ', 'อิงฟ้ามหาชน', 'มิสแกรนด์กรุงเทพมหานคร2022']","https://t.co/zbYqIjB194
ฝากอีกงานเข้าไปกดถูกใจคอมเม้นท์ค่ะเราต้องช่วยกันกดถูกใจ คอมเม้นท์กันพี่ๆสื่อจะได้ลงพี่ฟ้าบ่อยๆ
#อิงฟ้ามหานคร  #อิงฟ้าวราหะ  #อิงฟ้ามหาชน #มิสแกรนด์กรุงเทพมหานคร2022 https://t.co/YuQUOWdl5H",05/02/2022,positive,12,14
งาน,th,ironkong,highway of valhalla,[],ไม่ดูงานสมียันตระก็งี้ กูจะบวช ใครจะทำไม นุ่งเขียวห่มเขียวก็ได้ กลับมาไทยแครอทเฒ่าเดินตามต้อยๆ พะนะ,05/02/2022,neutral,6,1
งาน,th,taetae_vbtskabb,,[],@nunaKims_V @BTS_twt งานอะไรหรองับ,05/02/2022,neutral,0,0
งาน,th,seen_168,,"['รับงานคอลเสียว', 'สาวสองรามคำแหง', 'สาวสองรับงานกทม', 'สาวสองรับงานยังไม่แปลง', 'สาวสองมีงู', 'สาวสองสุขุมวิท', 'สาวสองรามคําแหง', 'สาวสองรัชดา', 'สาวสองลาดพร้าว', 'สาวสองห้วยขวาง', 'สาวสองพระราม9', 'สาวสองรามอินทรา', 'รับงานคอลเสียวเปิดกล้อง']","รับงานอมสดดูดเลีย แตกคาปาก #รับงานคอลเสียว #สาวสองรามคำแหง🆔Seenun168
#สาวสองรับงานกทม #สาวสองรับงานยังไม่แปลง #สาวสองมีงู #สาวสองสุขุมวิท #สาวสองรามคําแหง #สาวสองรัชดา #สาวสองลาดพร้าว #สาวสองห้วยขวาง #สาวสองพระราม9 #สาวสองรามอินทรา #รับงานคอลเสียวเปิดกล้อง https://t.co/sOMIfJ8YNQ",05/02/2022,negative,0,5
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@darksun_jj @BoonjitKanda @BamBam1A HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A",05/02/2022,positive,0,0
งาน,th,Vaki32903529,,['รับงานฉลองกรุง'],"รับงานพุ่งนี้ค่า
#รับงานฉลองกรุง
😜😜😜
ID:44vaki44",05/02/2022,positive,0,0
งาน,th,KkT2k,翻译,[],@song_yaaaq ดูเพลินมาก​ เหมือนได้กลับไปในงานอีกรอบ​ ❤️‍🔥,05/02/2022,neutral,0,0
งาน,th,Flymetoyourhome,ทาสรักน้องเค้ก,[],งานจัดแสงให้จัดเวทีกับแสงแบบเลือกเพลงเองอีกแล้ว ถ้าเอาเพลงเป็นฟิลมาย เสตจจะกลายเป็นเสตจพระราชทานอีกปะ5555555555,05/02/2022,neutral,0,0
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@jaydaijay @BamBam1A @BAMBAMxABYSS HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A",05/02/2022,positive,0,0
งาน,th,farzfuno,,[],เอิ่มวันหยุดแต่แถวที่พักมีงาน เปิดเพลงดังแต่เช้าาา โอ๊ยยยยย,05/02/2022,neutral,0,0
งาน,th,wsxrw,,[],ต้องอัดคลิปแก้งานใหม่ สภาพ แล้วงานกลุ่มเดะแม่,05/02/2022,neutral,0,0
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@PinkMoon9386 @BoonjitKanda HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A https://t.co/vqojjrPsrp",05/02/2022,positive,0,0
งาน,th,mr_jeonsv,Niagara pho pho,[],@Bam587Bm ดีที่ยังมีงานให้ทำไม่งั้นไม่มีเงินเปย์ผู้ชายแน่55555,05/02/2022,positive,0,0
งาน,th,0shelter,thailand,[],@jugkeym งานน้องก็ติดตาพี่มาก และแน่นอนต้องเตะตา คลต.หลายๆคน มูนแน่ๆ สู้ๆครับ,05/02/2022,positive,0,1
งาน,th,DAva0109,ประเทศไทย,"['KingDoubleBDay', '우리_뱀뱀이_생일축하해', 'BamBam']","@NknamkangN HBD นะคับลูกชายคนเก่ง ขอให้มีความสุข สุขภาพแข็งแรงและเป็นที่รักของคนรอบข้าง มีงานเยอะๆปังๆๆขึ้นไปนะคับ🎂🎂 🎉✨
220502 BAMBAM DAY
#KingDoubleBDay 
#우리_뱀뱀이_생일축하해 
#BamBam @BamBam1A https://t.co/Ywq0QDbktx",05/02/2022,positive,0,0
งาน,th,qriyap,"นนทบุรี, ประเทศไทย",[],เบื่องานศพบ้านนอกวุ่นวายกูก็แต่งชิวๆปะวอมเสื้อยืด จะทางการจะสูทไปไหนงง คราวหลังทิ้งไว้บ้านนะ,05/02/2022,negative,0,0
งาน,th,phaengnet,ประเทศไทย ☀️🌻 มกปฟก🌻☀️⚽🐼,"['มิวศุภศิษฏ์', 'MewSuppasit', 'Before430', 'OurTime']","Good Mewning ดูแลตัวเองด้วยนะ ขอให้งานราบรื่นทั้งวัน ในทุกวันเป็นวันดีๆ

@MSuppasit 
#มิวศุภศิษฏ์ #MewSuppasit 
#Before430 #OurTime https://t.co/72KegS3Bjh",05/02/2022,positive,38,14
งาน,th,AIS_Thailand,Thailand,[],@PPP54797287 สวัสดีค่ะคุณ PPP54797287 วันนี้ สมายล์-วรารินทร์ ขออภัยด้วยนะคะที่ดูแลล่าช้า สามารถแจ้งหมายเลขใช้งานที่พบปัญหาทาง DM เพื่อประสานงานตรวจสอบให้เพิ่มเติมนะคะ,05/02/2022,negative,0,0
งาน,th,RitzBoTnp,,[],ตั้งใจตื่นเช้า เพราะวันนี่มีงานเช้า สรุป อึไม่ออก ไม่ได้อาบน้ำซักที ฮืออ,05/02/2022,neutral,0,0
งาน,th,Pepopolopoh,,[],ใช้เวลา 2 ปีกว่าเลยอ่ะ ในการหาว่ายากทำงานอะไร พอเจอสโคปงานเป๊ะๆก็คือหน่ะ ไกลโพ้น,05/02/2022,negative,0,0
งาน,th,kyuhyun_pk_310,,[],คาดหวังกับงานแต่งพอสมควร ว่าทุกอย่างมันจะผ่านไปด้วยดี ไม่มีอะไรมาทำให้สะดุด และน่าจดจำ,05/02/2022,positive,0,0
