Keyword,Language,Username,Location,Hashtags,Fulltext,Create at,Sentiment Value,Sentiment,Totalretweet,Totalfavorite
เกม,th,v7online9,,"['918kissสล็อต', 'ยิงปลามือถือ', 'แจ็คพอต', 'ซองแดง', '918kiss']","918kiss เกมส์ออนไลน์ที่ทำรายได้ให้คุณมากมาย!
เกมส์มันส์ Aladdin ULTRA MEGA BIGWIN แจกทุกวัน
แจ็คพอต ซองแดง จัดชุดโชคใหญ่ยาวเหยียดทุกไอดี!
V7online ยิ่งเล่น/ยิ่งรวย อยากรวย อย่ารอช้าสมัครด่วน
สมัครรวยฟรี แอด LINE ID:@V7online 

#918kissสล็อต #ยิงปลามือถือ #แจ็คพอต #ซองแดง
#918kiss https://t.co/sJM55X1rk1",04/19/2022,94.74,positive,0,1
เกม,th,T033umaru_,,[],@Homu_FMN_b คนแก้ก็คนเดิมๆ คือเราไม่ได้เล่นเกมนะแต่อ่านหัวเธรดแล้วแบบ… ใครมันจะไปรู้ว่าตัวเองจะตายวะ ฮรืออ 5555,04/19/2022,0,neutral,0,0
เกม,th,Compang3,"อุบลราชธานี, ประเทศไทย",[],@meVnus ถ้ามองในอิกมุมแบบเปิดใจไร้อคติ พี่ลองคิดในมุมกลับที่พี่พูดอยู่ตอนนี้นะคะ พรรคที่พี่เชียร์ก็กล่าวหาพรรคแดงมาตลอดนี่คะ ในเกมส์การเมืองพรรคสีฟ้าคืออาจเป็นไอดอลของพรรคในอุดมคติพี่อยู่ตอนนี้แนวทางคล้ายกันมากกว่านะคะ,04/19/2022,80,positive,0,8
เกม,th,v7online9,,"['แจ็คพอต', '918kissสล็อต', 'ยิงปลามือถือ', 'อั่งเปา']","พุซซี่888 V7เจ้าใหญ่ เปย์หนักๆ เกมส์BonusBears 
แจกไม่หยุดยั้ง แจ็คพอต ฟรีเกมส์ โบนัสเกมส์ อั่งเปา
แจกเยอะ จ่ายไว เกมส์มันส์พารวย แหล่งหาเงินชั้นเลิศ 
เล่นแล้วปัง นับเงินไม่ทัน รวยเปรี๊ยงทุกราย ห้ามพลาด!!
สมัครรวยแอด LINEID:@V7online

#แจ็คพอต #918kissสล็อต #ยิงปลามือถือ #อั่งเปา https://t.co/FWowrQWS88",04/19/2022,96.97,positive,0,1
เกม,th,WestHamThai,,[],"แอสซิสจากลูกฟรีคิกในเกมกับเบิร์นลีย์ ทำให้ มานู ลันซินี ดาวเตะอาร์เจนไตน์ วัย 29 ปี สะสมการมีส่วนร่วมในการได้ประตูโดยตรงให้กับเวสต์แฮมได้ครบ 10 ประตู ในซีซั่นนี้ 

(ยิง 6 แอสซิส 4) 

ซึ่งนับเป็นสถิติที่ดีที่สุด ของ 'El Jewel' ในรอบ 3 ปีเลยทีเดียว https://t.co/bKyikT4Smr",04/19/2022,0,neutral,0,1
เกม,th,mychemical_no76,,[],@nidnhoi จริงๆ แต่ละฝ่ายต่างพยายามเล่นเกมของตัวเอง แต่เกมแบบนี้เล่นไปยังก็ไม่คุ้มค่าเลยครับ,04/19/2022,66.67,negative,0,1
เกม,th,HenryTy46692249,,[],"#BETFLIK59#
อย่ามัวแต่มอง มาลองก่อนได้
แจกกันรัวๆ ฟรีเกมส์แจกหนักมาก🔥
ทุนหลัก หมื่น แตกหลัก แสนนนนน❗❗❗
🎮ลองเลย สนใจสมัคร👉📲https://t.co/2DeKfQIPpiสมัครเลย?price=0
ไม่พลาดทุกโปรโมชั่นดีๆ และกิจกรรมต่างๆ กดเข้าร่วมกลุ่ม ไว้ได้เลยจ้า
https://t.co/0mPcOSfQLt https://t.co/zY7NHfxOKy",04/19/2022,85.71,positive,0,0
เกม,th,jaezmine789,대한민국,[],โอ้ยยยย อยากเล่นเกมส์ ตื่นมากูก็อยากเล่นเกมส์ละจะให้กูไปอ่านหนังสืออะไร,04/19/2022,0,neutral,0,0
เกม,th,dealihama1,,['Bonus99'],"#Bonus99
📣 ศูนย์รวมเกมออนไลน์ค่ายดัง SG,KA และค่ายดังอื่นๆ
เกมสุดฮิตและโบนัสดีๆ ที่นี่ที่เดียว
✨แจกเครดิตฟรี  99 ติดต่อรับกับแอดมินได้ทันที !
✨สมาชิกรับเครดิตฟรีได้ทุกวัน
✨แนะนำเพื่อนรับค่าแนะนำสูงสุด 10%
ด่วน ! ติดต่อรับโบนัสฟรีได้ที่นี่
✅ https://t.co/DhDM1NTQrz",04/19/2022,98.46,positive,0,0
เกม,th,pcmt33111,,[],เล่นแต่เกมส์ไอเหี้ย​ เออดี​กุจะได้มีเวลาดูซีรี่ย์,04/19/2022,0,neutral,0,0
เกม,th,Thairath_Sport,,"['พรีเมียร์ลีก', 'ลิเวอร์พูล', 'แมนยู', 'ศึกแดงเดือด', 'เยอร์เกนคลอปป์', 'ข่าวฟุตบอล', 'ไทยรัฐสปอร์ต']","วิเคราะห์สถิติที่น่าสนใจก่อนเกม ""ลิเวอร์พูล"" ฟัดเดือด ""แมนยูฯ"" ศึกแดงเดือด ยก 2 https://t.co/NmjP34BPES #พรีเมียร์ลีก #ลิเวอร์พูล #แมนยู #ศึกแดงเดือด #เยอร์เกนคลอปป์ #ข่าวฟุตบอล #ไทยรัฐสปอร์ต",04/19/2022,57.14,negative,0,0
เกม,th,miwmiw__,ig:moa.xmp,[],แกก็เฉลยเลยดิว่าบอกเลิกคุยเพราะแกติดเกม,04/19/2022,80,negative,0,1
เกม,th,penkonjingna,อยู่บนฝาบ้าน,[],"พี่เอาอาเธอเรียมาอวด เจ้าตัวตั้งใจเก็บโต๊ะกลมมาตั้งแต่เริ่มเกมละ ตอนนี้น่าจะได้เกือบครบละมั้ง
มิว:ทำไมดวงดีจังฟะ
พี่:เปล่า แลกมา
.
.
.
อ้อออออ",04/19/2022,66.67,positive,0,0
เกม,th,Kuro_shika,Thailand,[],@Homu_FMN_b อยากเล่นเกมเพื่อผ่อนคลายแต่เจอแต่อะไรปสดตลอดเลยค่ะด้อมนี้5555,04/19/2022,66.67,positive,0,0
เกม,th,jihoonselcax,selca (00),[],@woochanselcax ก็วัยรุ่นวัยโจ๋อะน้อ ก็ต้องมีสีสันกันหน่อย นอนดึกมากเลยน้องเกม,04/19/2022,66.67,positive,0,0
เกม,th,Nynne06,,[],เกม พ่อกุเปนโควิด เหลือกุ🥲🥲,04/19/2022,0,neutral,0,0
เกม,th,JCWY1998,มัมหมีน้องหมีเถียน,[],ไม่ได้ตีตลาดเกมเมอร์ค่า   ตีกัวกูกลับบ้านแหละ🥹🤏 https://t.co/hiGN4xZxP6,04/19/2022,0,neutral,9,3
เกม,th,damis_araff,nong jm♡︎ | kookie 🍼,[],เข้าเกมสิ ไปเอดมาดเต้อ @uwupapink,04/19/2022,0,neutral,0,0
เกม,th,stopnowwww,Thailand,[],กุว่าวันนี้ต้องนอนกลางวันอ่ะ55555 ตาล้ามากกก ทั้งเล่นเกมทั้งเขียนงาน คือมาราธอนมาทั้งอาทิตย์ติดเลยยย,04/19/2022,0,neutral,0,0
เกม,th,crsrelx,,[],อยากมีเพื่อนเล่นเกมมากแต่กูอันเฟรนทุกคนแล้วยกเว้นมัน แล้วมันไม่เคยชวนกุเล่นเลย💔นอกจากเข้าห้องบิงไปจีบคนอื่น https://t.co/pqa6GE0Lj6,04/19/2022,0,neutral,0,0
เกม,th,naomxmas_,𝗶𝗹𝘆𝗱𝗮𝗶𝘀𝘆,[],หน้าน้องอายากะในเกมหมีมันทำหน้าผากน้องใหญ่มาก แกแกล้งน้องไม,04/19/2022,66.67,negative,0,0
เกม,th,lianagvchy,Newwwie is always be my bias,[],เอาจริงเกลียดเวลาที่สไปเดอร์แมนน้องทอมโดนอันเดอร์เรทว่าไม่ดีเพราะน้องเป็นปีเตอร์ที่มีโทนี่คอยสปอยล์ให้เทคโนโลยีหนุนหลังมาก คือมาเวลมันปูบทโทนี่กับปีเตอร์มาเพื่อดีมากเพื่อต่อยอดไปเอนเกม เพราะปีเตอร์คือแรงจูงใจอยากให้โืทนี่ลองอีกครั้ง เขาเลี้ยงเขารักเหมือนลูกอะ,04/19/2022,76.19,negative,0,0
เกม,th,MairujakNa,,[],เกนชินหรือเกมอ้วก,04/19/2022,66.67,negative,1,0
เกม,th,theannpor,Thailand,"['Samsung', 'galaxyA735G']","✅เก่งไม่กั๊ก สเปกจัดเต็ม เกมไหนก็ลื่น
📣Samsung Galaxy A73 5G
💰 เริ่มเพียง 11,489

สนใจสั่งได้ที่นี่ 👉🏻https://t.co/i2273PKBzB

#Samsung #galaxyA735G https://t.co/52Bp80lsbb",04/19/2022,99.08,positive,0,0
เกม,th,PNrosieeee,,[],วายผีก็ต้องเกมกระตุกขวัญปะแม๊ เอิ้กกกก,04/19/2022,75,negative,0,0
เกม,th,NxngXarm,,"['เครดิตฟรี', 'เครดิตฟรีล่าสุด', 'เครดิตฟรีไม่ต้องฝากไม่ต้องแชร์', 'เครดิตฟรีได้จริง']","•ฝาก1รับ50 ทำเทิร์นโอเวอร์ได้เสีย612
•ถอuได้ไม่จำกัด เล่นได้ทุกค่ายเกม
•ห้ามซื้อฟรีสปิน สมัครแล้วทักไลน์หน้าเวป
•ขอรับโปรกับแอดมินทางไลน์
•ลิงค์สมัคร👇
https://t.co/0IhNoXb71n

#เครดิตฟรี #เครดิตฟรีล่าสุด
#เครดิตฟรีไม่ต้องฝากไม่ต้องแชร์
#เครดิตฟรีได้จริง https://t.co/dON4oD7ymK",04/19/2022,91.43,positive,5,4
เกม,th,LIT69XJA4UN,@̶͢  𝔡𝔢𝔞𝔱𝔥  ,[],เขินเพราะแค่เค้าถามชื่อในเกมมีอยู่จริง,04/19/2022,66.67,positive,0,0
เกม,th,Teddy_taeil,ซื้อแต่การ์ดซองเล่ออะเรา 😁,[],เลิกเล่น คุกกี้คิงด้อม เพราะ กุงอน ไอสัส เพื่อนกูไม่เล่นเลยหายไปเป็นปี มันมาสุ่ม ได้ตัวพรีเมียมอะ กูเล่นทุกวันไม่ได้ สรุป ลบเกมทิ้ง,04/19/2022,94.74,negative,0,0
เกม,th,pury_genshin,,[],คิดถึงตอนเล่น sky จัง ได้เพื่อนเยอะเลยตอนนั้น เสียดายเบิร์นเอาท์ก่อน มันเป็นเกมที่ wholesome จริง https://t.co/2edYq4YvzI,04/19/2022,0,neutral,0,0
เกม,th,durreuloutcome,,[],อีเปรต เกมควยไรหัวร้อนขนาดนี้,04/19/2022,0,neutral,0,0
เกม,th,2bbsisbeam2,,[],@liyucutie ให้มันที่สองเกมน่ะดีแร้วคุนรี่ เดี๋ยวเราค่อยไปย้อนดูตามสเต็ป555555555,04/19/2022,75,positive,0,0
เกม,th,QKachanon,,[],เล่นเกมส์ไหม? ก็มีบ้างปกติจะเล่นเเค่Rovเกมส์เดียว,04/19/2022,0,neutral,0,0
เกม,th,ka_rakatexx,세븐틴 | 아스트로,[],"เกมส์องุ่นในตำนาน 555555555555555
55555555555555555555555555555 https://t.co/liLODGWujM",04/19/2022,0,neutral,0,0
เกม,th,HenryTy46692249,,[],"เว็ปน้องใหม่มาแรง 🔥#BETFLIK59# 
  แตกหนัก จ่ายจริง 💰 เกมส์ใหม่ แตกง่าย 
🎮ลองเลย สนใจสมัคร👉📲https://t.co/2DeKfQIPpiสมัครเลย?price=0
ไม่พลาดทุกโปรโมชั่นดีๆ และกิจกรรมต่างๆ กดเข้าร่วมกลุ่ม ไว้ได้เลยจ้า
https://t.co/0mPcOSfQLt https://t.co/KiT6b8gPou",04/19/2022,85.71,positive,0,0
เกม,th,betvisa293,,[],"🎊🌎 มาร่วมสนุกกับเกมส์ของเรา 🌎🎊
🔥 BV เป็นผู้ให้บริการเกมส์ชั้นนำระดับโลก
💋 สมัครใหม่รับฟรี100และ 5 ฟรีสปีน
💰 ลงทะเบียนรับรางวัลมากมาย
💰 ฝากแค่ 50 รับ 300เพิ่มทันที
น้องๆแอดมินที่น่ารักและเป็นกันเอง คอยบริการลูกค้าตลอด24ชม.
😍 สนใจติดต่อ https://t.co/Exi0lCFJyo https://t.co/C9LV8sSNgJ",04/19/2022,99.87,positive,0,0
เกม,th,FinleyMason7,,[],"เว็ปน้องใหม่มาแรง 🔥#BETFLIK59# 
  แตกหนัก จ่ายจริง 💰 เกมส์ใหม่ แตกง่าย 
🎮ลองเลย สนใจสมัคร👉📲https://t.co/bBf9U3WR2Dสมัครเลย?price=0
ไม่พลาดทุกโปรโมชั่นดีๆ และกิจกรรมต่างๆ กดเข้าร่วมกลุ่ม ไว้ได้เลยจ้า
https://t.co/Bh5h1syJhn https://t.co/5LoY0FFTjw",04/19/2022,85.71,positive,0,0
เกม,th,alice11_kt,,[],6 ดาว ผช.ล่าสุดที่เกมมีคือโนวิโอใช่ป่าว https://t.co/ZTeemRxh25,04/19/2022,0,neutral,0,0
เกม,th,POMPAM7412,Suranaree University of Tech.,['Bonus99'],"#Bonus99
📣 ศูนย์รวมเกมออนไลน์ค่ายดัง SG,KA และค่ายดังอื่นๆ
เกมสุดฮิตและโบนัสดีๆ ที่นี่ที่เดียว

1. แจกเครดิตฟรี  99 ติดต่อรับกับแอดมินได้ทันที !
2. สมาชิกรับเครดิตฟรีได้ทุกวัน
3. แนะนำเพื่อนรับค่าแนะนำสูงสุด 10%
ด่วน ! ติดต่อรับโบนัสฟรีได้ที่นี่
✅ https://t.co/gaBRVMBUuA",04/19/2022,98.46,positive,0,0
เกม,th,Pichh03,หรรมไก่,[],@lee_je_prai เกมกัน,04/19/2022,0,neutral,0,0
เกม,th,AidanMax3,,[],"เว็ปน้องใหม่มาแรง 🔥#BETFLIK59# 
  แตกหนัก จ่ายจริง 💰 เกมส์ใหม่ แตกง่าย 
🎮ลองเลย สนใจสมัคร👉📲https://t.co/jOBnmfYo0Wสมัครเลย?price=0
ไม่พลาดทุกโปรโมชั่นดีๆ และกิจกรรมต่างๆ กดเข้าร่วมกลุ่ม ไว้ได้เลยจ้า
https://t.co/PWOYjMb0KI https://t.co/eq7VQmDXqN",04/19/2022,85.71,positive,0,0
เกม,th,Benjami63174944,,[],"เว็ปน้องใหม่มาแรง 🔥#BETFLIK59# 
  แตกหนัก จ่ายจริง 💰 เกมส์ใหม่ แตกง่าย 
🎮ลองเลย สนใจสมัคร👉📲https://t.co/jdclbPMfWnสมัครเลย?price=0
ไม่พลาดทุกโปรโมชั่นดีๆ และกิจกรรมต่างๆ กดเข้าร่วมกลุ่ม ไว้ได้เลยจ้า
https://t.co/Lx8GEqp7YH https://t.co/x8GC3Sq0KV",04/19/2022,85.71,positive,0,0
เกม,th,liyucutie,"4am , ctg，blg，opgg，rsg",[],@2bbsisbeam2 ถ้ามีเกมสามคุนบีมก็น่าจะได้ดูนะ555555,04/19/2022,0,neutral,0,0
เกม,th,TheAnubis_AC,,[],"- ในเกมจะปรากฏเป็นผู้ทดสอบมนุษย์ที่จะเป็นผู้พิทักษ์แห่งอิสุทุกคน ใครก็ตามที่มีสายเลือดลูกครึ่งมนุษย์กับชาวอิสุก็จะผ่านง่ายครึ่งหนึ่ง...

- จะมีการออกนอกคาร์และจะพูดถึงเหตุการณ์ในปัจจุบันด้วย เพื่อให้ทุกคนตระหนักถึงเรื่องปัจจุบัน",04/19/2022,80,positive,1,0
เกม,th,TheAnubis_AC,,[],"۞ ชี้แจงตัวละคร ۞

- อนูบิสนี้จะอ้างอิงจากตำนานชาวไอยคุปต์และจากเกม Assassin's Creed Origins เพราะทางค่ายเกมได้รักษาเอกลักษณ์ของตำนานนี้แบบใกล้เคียงที่สุด

- อนูบิสจะเป็นชาวอิสุหรือผู้มาก่อนในโลกของอียิปต์ เทคโนโลยีและอารยธรรมจะเหมือนกันกับของแอตแลนติสที่โพไซดอนอยู่

+",04/19/2022,66.67,positive,1,0
เกม,th,nxng71752089,,['Bonus99'],"#Bonus99
📣 ศูนย์รวมเกมออนไลน์ค่ายดัง SG,KA และค่ายดังอื่นๆ
เกมสุดฮิตและโบนัสดีๆ ที่นี่ที่เดียว
✨แจกเครดิตฟรี  99 ติดต่อรับกับแอดมินได้ทันที !
✨สมาชิกรับเครดิตฟรีได้ทุกวัน
✨แนะนำเพื่อนรับค่าแนะนำสูงสุด 10%
ด่วน ! ติดต่อรับโบนัสฟรีได้ที่นี่
✅ https://t.co/S21gAv4lRz",04/19/2022,98.46,positive,0,1
เกม,th,w88entrance033,"Bangkok, Thailand",[],w88 มือถือ เยี่ยมชมเว็บไซต์นี้และรักระบบการเดิมพันออนไลน์ของคุณ. นอกจากนี้การเดิมพันที่จะประสบความสําเร็จสะดวกและคาดหวังผลตอบแทนมหาศาล. พวกเขามีเกมให้เล่นมากมายและเป็นที่เคารพนับถืออย่างสูงสําหรับสถานที่เดิมพันบนเว็บ. https://t.co/YnNXxAPpRK https://t.co/vBnAHJHBbx,04/19/2022,97.96,positive,0,2
เกม,th,_mizukitaka_,ชาติ ศาสนา ไรเดนโชกุน,[],"เบลล่าในมังงะ ในเกม : จงรักภักดีต่อชิริน ทำทุกอย่างเพื่อราชินีตัวเอง
เบลล่าใน Elf Academy : โคตร ค ลั่ ง รั ก ชิ ริ น BDSM (?) อิจฉาคนสนิทกับนายตัวเอง (เพื่อนร่วมห้องนาง) 

เอ่ม",04/19/2022,75,positive,0,0
เกม,th,siththi41291314,,['Bonus99'],"#Bonus99
📣 ศูนย์รวมเกมออนไลน์ค่ายดัง SG,KA และค่ายดังอื่นๆ
เกมสุดฮิตและโบนัสดีๆ ที่นี่ที่เดียว
✨แจกเครดิตฟรี  99 ติดต่อรับกับแอดมินได้ทันที !
✨สมาชิกรับเครดิตฟรีได้ทุกวัน
✨แนะนำเพื่อนรับค่าแนะนำสูงสุด 10%
ด่วน ! ติดต่อรับโบนัสฟรีได้ที่นี่
✅ https://t.co/6o7br08MYy",04/19/2022,98.46,positive,0,0
เกม,th,banazentori,2001,[],บ้าจริงเกมนี้มีแต่มัมหมี,04/19/2022,66.67,negative,0,0
เกม,th,koalaascola,,[],@_DNVP2_ คุณยายเล่นเกมไรคะ  แนะนำหน่อยค่ะ,04/19/2022,0,neutral,0,0
เกม,th,favartpieceisV,,[],ไอ่สัด แต่อยากรุ้ว่าอิเกมที่กุไม่ได้สักตัวเลยตลอดทั้งเกมคือกุเจอกับแร้งเชี่ยไร,04/19/2022,80,negative,0,0
เกม,th,T6wqZ,07 ˙ᘧ ͜ ˙,[],กิ้ด น้องในเกมใจดีเว่อ เติมเกมให้ด้วย$&gt;&lt;,04/19/2022,66.67,positive,0,0
เกม,th,Thanadol_NRW,,[],@NaWa_NRW เฉื่อยๆเอื่อยๆ ตื่นมาเล่นเกม นอน หิน นอน เล่นเกม,04/19/2022,80,negative,0,0
เกม,th,wtt_0s,,[],เมื่อคืนฝันว่าหลุดเข้าไปในเกม มีคนไล่ตามหักคอ วิ่งจนขาขวิด น่ากลัวมากมีแต่คนตาย แต่สนุกสัส555555555555555555 ตื่นเรยเนี่ยน่ากัวว😢,04/19/2022,94.74,negative,0,0
เกม,th,babynontjao,,[],เคี้ยด เร่นเกมก่อนค่อยว่ากัน,04/19/2022,0,neutral,0,2
เกม,th,neieng15,,[],@b_bong1995 ตอนนี้งานคุณพี่เยอะจัดค่า ละคร ยูทูปตามตง คำสิงห์ ภารกิจชีวิตนอกจอ ธุรกิจเสื้อ แล้วบอกจะเปิดคาเฟ่เร็วๆนี้อีก ธุรกิจเล่นเกมส์อีกต่างหาก รอกันหน่อยละน๊าแม่ๆ เราเริ่มชินละหลังเปิดไอจีทุกห้านาที55555555,04/19/2022,0,neutral,0,9
เกม,th,chermisapp1,order in line 🤏🏻,[],"₍ᐢ. ⛩ รวมเกมที่รับเติม .ᐢ₎ ♡̷
🖇 รับแค่ UID ไม่มีการใช้รหัส 🙏🏻",04/19/2022,0,neutral,0,0
