name,total_ref
www.commonsense.org,22020
www.donotsell.org,6409
commonsense.force.com,4496
www.youtube.com,2244
www.facebook.com,2213
privacy.commonsense.org,2207
www.instagram.com,2183
www.twitter.com,2149
www.linkedin.com,2123
podcasts.apple.com,2100
www.youtube-nocookie.com,88
www.nytimes.com,45
www.washingtonpost.com,40
www.usatoday.com,33
support.cloudflare.com,28
www.cloudflare.com,28
youtu.be,26
www.stophateforprofit.org,25
www.univision.com,22
support.snapchat.com,20
www.today.com,18
ico.org.uk,17
www.axios.com,15
childmind.org,15
www.wsj.com,14
www.cnn.com,13
www.npr.org,12
www.politico.com,12
www.cnet.com,12
twitter.com,12
app2.cision.com,12
www.nbcnews.com,11
www.bloomberg.com,11
www.businessinsider.com,11
wideopenschool.org,11
mashable.com,10
ny.pbslearningmedia.org,10
www.theverge.com,10
support.google.com,10
abcnews.go.com,9
www.theguardian.com,9
www.sfchronicle.com,9
ecfsapi.fcc.gov,9
edpb.europa.eu,9
gsuite.google.com,8
www.bbc.com,8
www.latimes.com,8
www.cbsnews.com,8
www.ht2labs.com,8
www.unh.edu,8
thehill.com,8
www.theatlantic.com,8
www.parents.com,7
www.pewinternet.org,7
account.microsoft.com,7
support.apple.com,7
docs.google.com,7
laopinion.com,6
blogs.edweek.org,6
www.pbs.org,6
www.forbes.com,6
pediatrics.aappublications.org,6
zoom.us,6
en.wikipedia.org,6
www.amazon.com,6
time.com,6
apnews.com,6
www.edweek.org,5
www.apnews.com,5
www.apple.com,5
www.huffingtonpost.com,5
www.ncbi.nlm.nih.gov,5
itunes.apple.com,5
meetcircle.com,5
www.protocol.com,5
www.adweek.com,5
www.sacbee.com,4
play.google.com,4
us.cnn.com,4
highlymeditated.com,4
thejournal.com,4
commonsensemedia.org,4
www.fastcompany.com,4
suicidepreventionlifeline.org,4
edition.cnn.com,4
pbskids.org,4
www.pcmag.com,4
support.microsoft.com,4
www.adr.org,4
www.nydailynews.com,4
www.bark.us,4
my.account.sony.com,4
www.buzzfeednews.com,4
www.recode.net,4
help.minecraft.net,4
www.thisisinsider.com,4
www.telemundo.com,4
www.msnbc.com,4
www.snap.com,4
kidscreen.com,4
www.hollywoodreporter.com,4
journals.sagepub.com,4
www.opendns.com,3
bornthisway.foundation,3
thepastandthecurious.com,3
es.wikipedia.org,3
www.ftc.gov,3
www.marketplace.org,3
www.nirandfar.com,3
support.xbox.com,3
www.vice.com,3
apps.apple.com,3
www.bbc.co.uk,3
motherboard.vice.com,3
www.google.com,3
www.pewresearch.org,3
www.usnews.com,3
www.vox.com,3
www.snopes.com,3
bedtimehistorystories.com,3
www.sciencedaily.com,3
awfj.org,3
blog.connectedcamps.com,3
www.reuters.com,3
openlibrary.org,3
www.gutenberg.org,3
www.edsurge.com,3
www.copyright.gov,3
qz.com,3
www.newsweek.com,3
sanfrancisco.cbslocal.com,3
www.ktvu.com,3
www.marketwatch.com,3
www.nationalgeographic.com,3
www.yahoo.com,3
money.cnn.com,3
en.help.roblox.com,3
,3
www.telegraph.co.uk,3
support.zoom.us,3
www.chicagotribune.com,3
www.realsimple.com,3
thekidshouldseethis.com,3
www.consumerreports.org,2
families.google.com,2
apple.co,2
www.goldieblox.com,2
www.sfgate.com,2
techcrunch.com,2
www.economist.com,2
www.wired.com,2
about.twitter.com,2
health.usnews.com,2
www.cnbc.com,2
www.mercurynews.com,2
www.independent.co.uk,2
help.instagram.com,2
about.instagram.com,2
www.psychologytoday.com,2
variety.com,2
support.mozilla.org,2
www.xfinity.com,2
www.newyorker.com,2
www.cbc.ca,2
www.everyoneon.org,2
www.deseretnews.com,2
www.fifa.com,2
www.foxsports.com,2
khanacademy.zendesk.com,2
manuals.playstation.net,2
www.bizjournals.com,2
ww2.kqed.org,2
www.teenvogue.com,2
en-americas-support.nintendo.com,2
charlierose.com,2
cnnespanol.cnn.com,2
www.clarin.com,2
www.tvokids.com,2
commercialfreechildhood.org,2
www.regulations.gov,2
www.nclc.org,2
edsource.org,2
www.roblox.com,2
open.spotify.com,2
www.twitch.tv,2
advocacy.consumerreports.org,2
papers.ssrn.com,2
www.channelkindness.org,2
www.kron4.com,2
www.snapchat.com,2
blog.zoom.us,2
stripe.com,2
download.cnet.com,2
www.autcraft.com,2
tinkercast.com,2
famcraft.com,2
gzmshows.com,2
www.kqed.org,2
www.crisistextline.org,2
deadline.com,2
www.insider.com,2
www.verizon.com,2
www.fatherly.com,2
www.healthychildren.org,2
corp.roblox.com,2
www.minecraft.net,2
www.geek.com,2
explore.org,2
www.nami.org,2
blog.youtube,2
www.youtubekids.com,2
commonsensesupport.desk.com,2
cyber.fsi.stanford.edu,2
finance.yahoo.com,2
www.barnesandnoble.com,2
arstechnica.com,2
www.engadget.com,2
edu.google.com,2
www.microsoft.com,2
www.tiktok.com,2
www.pcgamer.com,2
www.rebelgirls.com,2
ed.ted.com,2
www.kongregate.com,1
kidsprivacy.net,1
www.netflixbookmarks.com,1
www.ptsd.va.gov,1
www.happi-me.org,1
apartofme.app,1
uvideos.com,1
www.calm.com,1
king.com,1
freshdesk.com,1
t2health.dcoe.mil,1
lists,1
www.tvguidelines.org,1
hangouts.google.com,1
exito.univision.com,1
www.Xbox.com,1
www.dobsoftstudios.com,1
Spirit: Stallion of the Cimarron,1
