name,total_ref
twitter.com,5515
www.youtube.com,3940
www.instagram.com,3907
facebook.com,3904
twitch.tv,2760
www.twitch.tv,1211
www.facebook.com,956
gameinformeronline.disqus.com,472
www.gamestop.com,78
gi9641r1.cachefly.net,73
open.spotify.com,52
podcasts.apple.com,51
podcasts.google.com,36
t.co,26
s3.amazonaws.com,26
youtu.be,25
www.twitter.com,25
www.rafflecopter.com,19
store.steampowered.com,17
gameinformer.com,15
bit.ly,8
www.nintendo.com,8
www.epicgames.com,6
www.videogameschronicle.com,6
itunes.apple.com,5
www.gamespot.com,5
www.ign.com,5
play.google.com,4
www.roblox.com,4
www.bandainamcoent.com,4
en.bandainamcoent.eu,4
blog.playstation.com,4
origins.sonicthehedgehog.com,4
disneydreamlightvalley.com,4
www.ea.com,4
www.farchangingtides.com,3
www.konami.com,3
www.eurogamer.net,3
bugsnax.com,3
discord.com,3
www.deadbydaylight.com,2
theshow.com,2
www.calloftheseagame.com,2
dearvillagers.com,2
dislyte.lilith.com,2
fallenflagstudio.com,2
www.evildeadthegame.com,2
playdeathsdoor.com,2
gleam.io,2
www.americanarcadiagame.com,2
www.youngsouls-game.com,2
east.paxsite.com,2
www.focus-entmt.com,2
dyinglightgame.com,2
www.tunicgame.com,2
www.monsterhunter.com,2
www.ziggurat.games,2
www.playwonderlands.com,2
gamefound.com,2
www.marthaisdead.com,2
forgottencitygame.com,2
chicorygame.com,2
www.zelda.com,2
www.oculus.com,2
www.bear.game,2
kotaku.com,2
www.starfieldgame.com,2
www.modiphius.net,2
wwe.2k.com,2
www.inscryption.com,2
www.lostincult.co.uk,2
news.xbox.com,2
www.ftc.gov,2
submit-irm.trustarc.com,2
www.theverge.com,2
www.cultofthelamb.com,2
roguelegacy2.com,2
www.metacritic.com,2
80.lv,2
www.markscicluna.com,2
www.trektoyomi.com,2
steelrising.org,2
dungeondefenders.com,2
www.slormitestudios.com,1
playtemtem.com,1
southofthecircle.com,1
midnightsuns.2k.com,1
www.valheimgame.com,1
thewreckgame.com,1
www.playscavengers.com,1
pokemongolive.com,1
www.necrobarista.com,1
square-enix-games.com,1
www.playkeo.com,1
www.yachtclubgames.com,1
wrath.owlcatgames.com,1
wildrift.leagueoflegends.com,1
lumbearjack.finalboss-games.com,1
rawmengame.com,1
turbogolf.racing,1
www.unpackinggame.com,1
kemonogames.com,1
www.kickstarter.com,1
www.wrestlequest.com,1
www.ofk.cool,1
www.mergegames.com,1
systemshock.com,1
genshin.mihoyo.com,1
brasstoken.com,1
returntomonkeyisland.com,1
industriesoftitan.com,1
www.rumbleverse.com,1
www.kerbalspaceprogram.com,1
www.swhunters.com,1
wayforward.com,1
invinciblethegame.com,1
hogwartslegacy.warnerbrosgames.com,1
planetoflana.com,1
www.minekosnightmarket.com,1
www.startrek-resurgence.com,1
callistothegame.com,1
scorn-game.com,1
diofieldchronicle.square-enix-games.com,1
jumpship.co.uk,1
noplaceforbravery.com,1
seaofstarsgame.co,1
www.neostream.com,1
www.steamdeck.com,1
ninokuni.netmarble.com,1
www.secondextinctiongame.com,1
www.awaceb.com,1
kartrider.nexon.net,1
www.crea-turestudios.com,1
openroads.game,1
www.stray.game,1
tcg.pokemon.com,1
endnightgames.com,1
www.rockstargames.com,1
lastoricru.com,1
www.theanacrusis.com,1
drawdistance.dev,1
www.shredders-revenge.com,1
www.chikon.club,1
www.uniqlo.com,1
shenmue3.deepsilver.com,1
www.gentlegiantltd.com,1
heroquest.avalonhill.com,1
mitski.com,1
shop.sting.com,1
foxyshazam.bigcartel.com,1
www.sacredbonesrecords.com,1
www.diamondselecttoys.com,1
necaonline.com,1
www.lego.com,1
www.paramountmovies.com,1
www.spyoptic.com,1
officialkonamishop.com,1
wickandskull.com,1
getevo.net,1
monsterilluminessence.com,1
www.snydercut.com,1
store.gkids.com,1
www.rollacrit.com,1
www.zmangames.com,1
freeleaguepublishing.com,1
luckyduckgames.com,1
www.disneymovieinsiders.com,1
movies.disney.com,1
shop.funimation.com,1
www.westerndigital.com,1
stores.horiusa.com,1
www.usa.philips.com,1
upspecgaming.com,1
www.razer.com,1
www.apple.com,1
riotpwr.com,1
ezq.com,1
possumcreekgames.com,1
www.simonstalenhag.se,1
www.casemateipm.com,1
darringtonpress.com,1
www.warnerbros.com,1
www.8bitdo.com,1
content.usatoday.com,1
www.andyweirauthor.com,1
www.ravensburger.us,1
funkogames.com,1
bigpotato.com,1
shop.wizkids.com,1
pandasaurusgames.com,1
us.macmillan.com,1
www.penguinrandomhouse.com,1
subterraneanpress.com,1
newwavetoys.com,1
hasbropulse.com,1
shop.mattel.com,1
numskull.com,1
www.first4figures.com,1
shop.hasbro.com,1
www.funko.com,1
carrera-toys.com,1
ledergames.com,1
www.fantasyflightgames.com,1
dnd.wizards.com,1
morkborg.com,1
www.tivo.com,1
zvox.com,1
www.samsung.com,1
linearflux.com,1
www.hyperxgaming.com,1
www.hexgaming.com,1
chvrch.es,1
www.billieeilish.com,1
www.turnstilehardcore.com,1
callmeifyougetlost.com,1
www.homeworlduniverse.com,1
us.puma.com,1
rolflexpro.com,1
ridejetson.com,1
paizo.com,1
www.gungrave.com,1
www.companyofheroes.com,1
www.playnightingale.com,1
www.change.org,1
www.deeprockgalactic.com,1
store.analogue.co,1
avengers.square-enix-games.com,1
www.buttoncitygame.com,1
store.explosm.net,1
explosm.net,1
legends.pokemon.com,1
support.discord.com,1
www.playlostark.com,1
www.tiktok.com,1
www.YouTube.com,1
www.dell.com,1
startrekonline.com,1
medium.com,1
www.bloomberg.com,1
expeditionsseries.com,1
www.nomanssky.com,1
goodbyevolcanohigh.com,1
www.windjammers2.com,1
store.privatedivision.com,1
nisamerica.com,1
www.shreddersgame.com,1
www.henryshouse.com.au,1
www.xbox.com,1
lifeisstrange.square-enix-games.com,1
rainbow6.ubisoft.com,1
www.actionarcadewrestling.com,1
www.originalfiregames.com,1
www.torcnm.org,1
www.dreamscapergame.com,1
thewaylanders.com,1
theartfulescape.com,1
news.blizzard.com,1
sundaemonth.com,1
www.cnbc.com,1
www.nytimes.com,1
www.wingstop.com,1
www.klarna.com,1
www.Twitter.com,1
boards.greenhouse.io,1
youtube.com,1
direct.darkhorse.com,1
www.onguardonline.gov,1
www.networkadvertising.org,1
butwhythopodcast.com,1
www.famitsu.com,1
www.globalprivacycontrol.org,1
www.hd.square-enix.com,1
embracer.com,1
www.imdb.com,1
warcraftrumble.blizzard.com,1
about.usps.com,1
gameinformer.mydigitalpublication.com,1
bewareofdarknessband.bandcamp.com,1
www.patreon.com,1
www.ascap.com,1
www.kindafunny.com,1
register.ubisoft.com,1
exputer.com,1
www.playstation.com,1
mixer.com,1
www.playstationlifestyle.net,1
psnprofiles.com,1
teamsalvato.com,1
www.amazon.com,1
pixelatedprovisions.com,1
kerokerobonito.com,1
en.wikipedia.org,1
retrododo.com,1
play.date,1
www.barnesandnoble.com,1
www.puzzlequest3.com,1
www.elexgame.com,1
roguebook.net,1
sherlockholmes.one,1
soulhackers2.atlus.com,1
www.thqnordic.com,1
team-reptile.com,1
www.stalker2.com,1
demonslayer-hinokami.sega.com,1
asterigos-bbqkdcnkwa-de.a.run.app,1
www.babylonsfall.com,1
chorusworldwide.com,1
awayseries.com,1
www.arcadegeddon.com,1
thelegendofheroes.com,1
volcanobean.com,1
www.klei.com,1
maxinferno.com,1
www.mxvsatv.com,1
www.platinumgames.com,1
aquietplace.game,1
aftermathgame.com,1
eville-game.com,1
www.littleorpheus.com,1
www.kinegame.com,1
www.digerati.games,1
exo-one-game.com,1
florian.games,1
frozen-flame.com,1
www.grimegame.com,1
www.handy-games.com,1
www.farfromhomegames.com,1
www.maximumgames.com,1
www.destroyallhumansgame.com,1
www.helloneighbor2.com,1
www.devolvertumbletime.com,1
www.dunegames.com,1
www.metalhellsinger.com,1
www.deliverusthemoon.com,1
mouse-craft.com,1
www.eyesinthedarkgame.com,1
slipstre.am,1
rpgtime-en.com,1
teardowngame.com,1
anno-m.com,1
catcafemanager.com,1
skyhookgames.com,1
www.playaztech.com,1
www.generalinteractive.co,1
phantombreakeromnia.com,1
www.sifugame.com,1
crownsgame.me,1
www.balancingmonkeygames.com,1
eiyudenchroniclegame.com,1
zombiearmy.com,1
www.koeitecmoamerica.com,1
www.chernobylgame.com,1
www.aerialknight.com,1
www.megustagame.com,1
www.dolmenthegame.com,1
kaokangaroo.com,1
www.snk-corp.co.jp,1
www.paradoxinteractive.com,1
madisongame.com,1
toukana.com,1
snowrunner-thegame.com,1
www.rogue-lords.com,1
whitethorndigital.com,1
outriders.square-enix-games.com,1
www.kraken-academy.com,1
www.capcom-games.com,1
www.stanleyparable.com,1
www.road96.com,1
diabloimmortal.com,1
www.uphe.com,1
