name,total_ref
rosea.onelink.me,130
acerthailand.com,66
dragonhunters.onelink.me,66
martialsword.winwaygame.com,66
bit.ly,65
play.google.com,31
apps.apple.com,26
store.steampowered.com,14
cutt.ly,8
www.facebook.com,7
apkcombo.com,6
rainbowsixmobile.com,2
www.bbc.com,1
www.homesweethomegame.com,1
derbystars.com,1
www.tomshardware.com,1
cbz.joycity.com,1
www.taptap.io,1
www2.razer.com,1
Razer.com,1
www.razer.com,1
cafe.daum.net,1
mememori-game.com,1
appguru.online,1
monmusu-td.jp,1
discord.gg,1
www.team17.com,1
overprime.netmarble.com,1
urldefense.com,1
forum.netmarble.com,1
www.youtube.com,1
aquaplus.jp,1
apkpure.com,1
