name,date,url,header,content,lang,total_word,sentiment
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187646/,ลุยไม่ต้องยั้งมือไปกับการทดสอบเบต้าแบบปิดครั้งที่ 2 ใน Overprime ได้แล้ววันนี้!, overprime tps moba steam steam steam overprime discordwebsite facebook page overprime ,en,7,Neutral
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187729/,เหมือนจ๊าดด Genshin Impact คอสเพลย์เป็น Raiden Shogun สุดเบิ้ม,genshin impactraiden shogun hot kisaragiash cosplay genshin impact ,en,7,Positive
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187470/,หลุดยังไงให้โลกจำ Need For Speed 2022 มาครบทั้งเกมเพลย์ แผนที่และสกรีนช็อต, need for speed ghost games electronic artsneed for speed heatghost gamesneed for speed need for speed gamesneed for speed hot pursuit lake shore city offroadneed for speed payback need for speed electronic arts need for speed need for speed ,en,17,Positive
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187322/,พลาดไปเสียดายแย่ Monochrome Mobius: Rights and Wrongs Forgotten เกม JRPG เนื้อเรื่องเยี่ยมระดับแรร์ไอเทม,monochrome mobius rights and wrongs forgottenjrpg utawarerumonoaquaplus playstation playstation pc pcdmm gamesshiravune utawarerumononaoya shimokawa munemitsu sugautawarerumono mi monochrome mobius rights and wrongs forgottenrpgmonochrome mobius rights and wrongs forgottenoshtorennakamuyyamato arva shulan utawarerumono aquaplus monochrome mobius rights and wrongs forgotten ,en,23,Neutral
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187523/,สนุกสนานไปกับเนื้อเรื่องใหม่ ซีซัน 2: เกาะแสงจันทร์  ใน เซเว่นไนท์ 2, rpg pvp hp seven knights facebook pageyoutubeforums seven knights ,en,7,Neutral
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187955/,เกมแอคชั่นดาร์กเลือดสาด Thymesia มีเดโมมาให้ลองก่อนเปิดฉากล่าฆ่าอสูรร้ายเร็วๆ นี้,action rpg studio playstation xbox series pc thymesia corvus raven thymesia thymesia ,en,10,Positive
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187954/,อัปเดตครั้งใหม่จาก KOF ALLSTAR ศึกสุดเดือดและคอนเทนต์สุดมันส์จาก The King of Fighters XV ห้ามพลาด!, rpg the king of fighters allstar the king of fighters allstar ex the king of fighters xv pve ex ss ex pve ss the king of fighters allstar ,en,10,Neutral
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187555/,เกมสาย TD น่าลอง Knightcore Kingdom ชวนผู้กล้าท้ารบปีศาจบน Android สโตร์ SEA วันนี้,cbtseaandroidknightcore games knightcore kingdom td pvp knightcore kingdom knightcore kingdom ,en,6,Neutral
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187928/,ลงชื่อด่วน Araka จะเปิดวอร์แล้ว 10 พ.ค.นี้ เตรียมยกกิลด์ถล่มเซิร์ฟ SEA,seaarakammorpgappguru technologyumi engine realtime pve pve pvp voice interaction appguru sea araka araka ,en,11,Neutral
gamemonday,2022/05/04,https://www.gamemonday.com/game-news/187938/,Kakao Games เปิดทดสอบ Global Beta Test เกมออนไลน์ ‘Dysterra’ แนว FPS เอาชีวิตรอดใน PC!,kakao games global beta test dysterra fps pc reality magic global beta test dysterra steam dysterrafps multiplay global beta test sf shelter global test dysterra ui ux ai motion capture dysterra global beta test daum cafe steam discord dysterra ,en,23,Positive
