name,date,url,header,content,lang,total_word,sentiment
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23055673/ubisoft-prince-persia-remastered-pune-mumbai-montreal#comments,Ubisoft’s troubled Prince of Persia remake moved to a new studio,after an indefinite delay and months without an update ubisoft has announced that its moving the development of its highly anticipated prince of persia the sands of time remake to its studio located in montral canada the game was originally in the works at ubisofts indiabased mumbai and pune studiosthe development of prince of persia the sands of time remake will now be led by ubisoft montral the very birth place of the epic sands of time trilogy ubisofts announcement on twitter reads this decision is an important step and the team building on the work achieved by ubisoft pune and ubisoft mumbai will now take the time they need to regroup on the scope of the game to deliver the best experience for this remake of an alltime classic when its readyan update on the development of prince of persia the sands of time remake of assisting with games like just dance and steep the sands of time remake marks the first major title ubisoft mumbai and pune studios have led development on ubisoft didnt expand on what prompted it to swap studios and it didnt immediately respond to the verges request for commentthe sands of time remake is notably supposed to be a remastering of the game not just a reskin built off of ubisofts anvilnext engine it was initially slated for release in january on the xbox one playstation and pc theres still no word on optimization for the series x s or issues caused ubisoft to push the sands of times release date back by a couple of months until it later made the decision to delay the games release indefinitely ubisofts last update about the game came in october of last year which just reassured fans that developers were still working on the game,en,149,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23053536/ford-tesla-f100-mustang-gt-right-to-repair,Ford did what Tesla won’t,last fall ford began parading around a fully electric pickup truck that could accelerate mph in around three seconds the company brought it to youtubers automotive trade shows jay leno and even us and we all agreed we want this truck in our own garagesbut for ford this car was far more than a pretty old new truck it was a way to show off its new electric crate motor the or the same electric motor that is in fords allelectric mustang mache gta crate motor is an engine sold separately from a vehicle they have predominately served as a way for car enthusiasts and hobbyists to modify their cars and they are incredibly common but almost all of these crate motors run on some sort of fuel which is why fords ecrate motor is worth parading around now while they arent the only company selling an ecrate motor they certainly are the first major automotive brand to bring one to market and more impressively keeping it under my latest video i went to electrified garage in ocala florida an electric vehicle repair shop known for repairing teslas at lower rates than tesla itself and spoke to ifixitcom one of the leading forces in the right to repair movement to figure out why this is so important and how far we really are from being able to fix electric vehicles for ourself let me know what you think bud,en,154,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23056024/amd-dragon-range-zen-4-extreme-gaming-laptop-cpu-ryzen#comments,AMD promises ‘extreme gaming laptops’ in 2023 with new Dragon Range CPU,a funny thing happened in amd won the gaming laptop for the first time ever until the asus zephyrus wed never seen a laptop with an amd cpu and amd gpu run circles around the competition since then weve repeatedly seen that amd laptop no longer means cheap but now amd is setting its sights higher than midrange gaming machines it just revealed its building a new cpu aimed at the pinnacle of gaming performance with the highest core thread and cache everthe new cpu line is codenamed dragon range and theyll live exclusively at tdp and up enough power that theyll largely exist in the space where gaming laptops are plugged in the majority of the time says amd director of technical marketing robert hallockthe slide above shows theyre aimed at laptops that are at least thick while the phoenix line are aimed at machines thinner than that same mark both are part of the same amd ryzen series based on the same zen architecture and unfortunately it appears both wont arrive until zen will begin its life as the desktop exclusive raphael later this year according to the chartamd says that dragon range will take up the hs suffix for cpus the same as the ryzen that impressed us at in that asus zephyrus but hinted that we shouldnt take the higher tdp as a sign that theyll totally be ditching power efficiency for performance theyre estimated to be notably more power efficient than other laptops in that competing timeframe says hallockamd wouldnt provide more details today and its not clear what the new cpus might bring to the table that gaming laptops necessarily need given that graphics chips not cpus are generally where most of the gaming oomph comes from these days still cpu speed does matter particularly when youre trying to feed a high refresh rate monitor which may soon go up to with lowerresolution frames and the kind of gamer who buys an extreme gaming laptop might care about even a slight advantage in fpshallock says the new chips are an opportunity the company thought it could pursue alongside thinandlight gaming the performance per watt story youve been hearing from us will continue into the future as well he saysamd also told journalists today that starting next quarter it will break out gaming into its own financial segment with revenue from semicustom parts like playstation xbox and steam deck chips joining desktop and laptop radeon graphics all part of a single gaming business it sounds like ryzen may not be part of that segment though but rather a client one the company will explain more at an analyst day in junerelated,en,250,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23055713/simone-giertz-yetch-inventor-creator-youtube,Simone Giertz’s online store sells cool inventions ‘you didn’t know you didn’t want’,swedish inventor and youtuber simone giertz aka the queen of shitty robots has revealed her latest creation a website named after the way her last name is pronounced yetch giertzs roster of inventions includes things like a toothbrushing helmet and a gnarly vegetable chopping machine while the website doesnt feature the truckla a tesla model that giertz transformed into a pickup truck or a legobuilt photo booth for cute puppy photos it does feature some practical accessories and itemswhile an allwhite puzzle can sound like a pain this one can be a funny pain for those who lose their puzzle pieces yetchs incomplete white puzzle consists of pieces out of a puzzle and since it is intentional it will still cost you the full price of the puzzle is described by giertz as the worlds worst jigsaw puzzle in her latest youtube video and took her a whopping hours to completegiertzs every day goal calendar is an actual calendar but the cool part here is that every day in the calendar is backlit with an individual led light to help you keep track of whatever goal you set the calendar is available for a fitting price the every day calendar was a part of her first kickstarter back in which giertz used herself to keep a meditation schedulethe website features both a phillipshead screwdriver ring and screw ring both for it isnt clear if one ring will fit into the other but you wont be completely screwing yourself if youre missing either of themthese items are still available on yetch according to the websites about page the site was created after years of prototyping and one too many how is this not a thing this should be a thing,en,172,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23056024/amd-dragon-range-zen-4-extreme-gaming-laptop-cpu-ryzen,AMD promises ‘extreme gaming laptops’ in 2023 with new Dragon Range CPU,a funny thing happened in amd won the gaming laptop for the first time ever until the asus zephyrus wed never seen a laptop with an amd cpu and amd gpu run circles around the competition since then weve repeatedly seen that amd laptop no longer means cheap but now amd is setting its sights higher than midrange gaming machines it just revealed its building a new cpu aimed at the pinnacle of gaming performance with the highest core thread and cache everthe new cpu line is codenamed dragon range and theyll live exclusively at tdp and up enough power that theyll largely exist in the space where gaming laptops are plugged in the majority of the time says amd director of technical marketing robert hallockthe slide above shows theyre aimed at laptops that are at least thick while the phoenix line are aimed at machines thinner than that same mark both are part of the same amd ryzen series based on the same zen architecture and unfortunately it appears both wont arrive until zen will begin its life as the desktop exclusive raphael later this year according to the chartamd says that dragon range will take up the hs suffix for cpus the same as the ryzen that impressed us at in that asus zephyrus but hinted that we shouldnt take the higher tdp as a sign that theyll totally be ditching power efficiency for performance theyre estimated to be notably more power efficient than other laptops in that competing timeframe says hallockamd wouldnt provide more details today and its not clear what the new cpus might bring to the table that gaming laptops necessarily need given that graphics chips not cpus are generally where most of the gaming oomph comes from these days still cpu speed does matter particularly when youre trying to feed a high refresh rate monitor which may soon go up to with lowerresolution frames and the kind of gamer who buys an extreme gaming laptop might care about even a slight advantage in fpshallock says the new chips are an opportunity the company thought it could pursue alongside thinandlight gaming the performance per watt story youve been hearing from us will continue into the future as well he saysamd also told journalists today that starting next quarter it will break out gaming into its own financial segment with revenue from semicustom parts like playstation xbox and steam deck chips joining desktop and laptop radeon graphics all part of a single gaming business it sounds like ryzen may not be part of that segment though but rather a client one the company will explain more at an analyst day in junerelated,en,221,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23055717/daniel-radcliffe-weird-al-trailer-roku,Daniel Radcliffe goes full sex symbol in first Weird Al biopic teaser,people might not have known what to expect when roku first announced that itd tapped daniel radcliffe to portray weird al yankovic in its upcoming biopic weird the al yankovic story but following the streamers inaugural upfront presentation this week and a new weird trailer theres little question about what sort of energy director eric appels going forat one point in yankovics feature uhf yankovic plays a parody of sylvester stallones rocky character due to stallone himself backing out of a planned cameo in order to approximate stallones physique for the film yankovic donned an oiledup muscle suit that didnt need to look anywhere near as convincing as it did though weirds trailer doesnt mention uhf or stallone by name radcliffe does somehow manage to evoke the idea of a buff yankovic the moment he rips his shirt off on stage in front of a cheering crowdweird was just one of many upcoming projects roku hyped up during its first upfronts where it also announced zoe listerjones slip and a new season of the great american baking show though rokus slate of forthcoming content makes it seem as if the streamers keeping its options open in terms of what kind of movies and series it wants to become known for its vision for oneview its advertising platform appears to be far more focused according to the company rokus oneview ad platform will soon offer retailers the option to pair shoppable ads with roku pay the payment platform through which subscribers can currently purchase contentweird the al yankovic story debuts on the roku channel this fall,en,179,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23055673/ubisoft-prince-persia-remastered-pune-mumbai-montreal,Ubisoft’s troubled Prince of Persia remake moved to a new studio,after an indefinite delay and months without an update ubisoft has announced that its moving the development of its highly anticipated prince of persia the sands of time remake to its studio located in montral canada the game was originally in the works at ubisofts indiabased mumbai and pune studiosthe development of prince of persia the sands of time remake will now be led by ubisoft montral the very birth place of the epic sands of time trilogy ubisofts announcement on twitter reads this decision is an important step and the team building on the work achieved by ubisoft pune and ubisoft mumbai will now take the time they need to regroup on the scope of the game to deliver the best experience for this remake of an alltime classic when its readyan update on the development of prince of persia the sands of time remake of assisting with games like just dance and steep the sands of time remake marks the first major title ubisoft mumbai and pune studios have led development on ubisoft didnt expand on what prompted it to swap studios and it didnt immediately respond to the verges request for commentthe sands of time remake is notably supposed to be a remastering of the game not just a reskin built off of ubisofts anvilnext engine it was initially slated for release in january on the xbox one playstation and pc theres still no word on optimization for the series x s or issues caused ubisoft to push the sands of times release date back by a couple of months until it later made the decision to delay the games release indefinitely ubisofts last update about the game came in october of last year which just reassured fans that developers were still working on the game,en,149,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23055121/paramount-plus-subscriber-count-40-million#comments,Paramount Plus subscriber count has grown to nearly 40 million,paramount plus subscriber count has ballooned to almost million with the service gaining million subscribers in the first quarter of alone paramount announced in its earnings report on tuesday an increase in subscriber count led to more money for the company as well its directtoconsumer revenue which includes paramount plus and its free tv streaming service pluto tv increased percent year over yearwhile revenue from subscriptions for both pluto tv and paramount plus grew percent year over year advertising revenue increased percent the company says paramount plus subscribers watched more shows for longer periods of time as well this along with a higher subscriber count was mostly driven by the service strengthening its roster of showsparamount plus exclusively released a liveaction halo tv show last month in addition to the second season of star trek picard an original spinoff of the iconic series its also the home to star trek discovery kamp koral spongebobs under years and rugrats and icarly reboots yesterday paramount plus announced that its bringing back yo mtv raps on may plus which has been around for a little over a year now may not be considered a streaming behemoth yet but it looks like some of its original content is attracting more subscribers which will likely increase following its expansion to the uk and ireland in june at the same time paramount plus notes its subscriber count is on the rise netflix lost a small fraction of its over million subscribers last quarter its first subscriber decline in over years netflix hopes to make up for that loss by potentially cracking down on password sharing and rolling out a cheaper adsupported option paramount plus already offers a fairly affordable adsupported month plan or a month adfree option,en,160,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23055121/paramount-plus-subscriber-count-40-million,Paramount Plus subscriber count has grown to nearly 40 million,paramount plus subscriber count has ballooned to almost million with the service gaining million subscribers in the first quarter of alone paramount announced in its earnings report on tuesday an increase in subscriber count led to more money for the company as well its directtoconsumer revenue which includes paramount plus and its free tv streaming service pluto tv increased percent year over yearwhile revenue from subscriptions for both pluto tv and paramount plus grew percent year over year advertising revenue increased percent the company says paramount plus subscribers watched more shows for longer periods of time as well this along with a higher subscriber count was mostly driven by the service strengthening its roster of showsparamount plus exclusively released a liveaction halo tv show last month in addition to the second season of star trek picard an original spinoff of the iconic series its also the home to star trek discovery kamp koral spongebobs under years and rugrats and icarly reboots yesterday paramount plus announced that its bringing back yo mtv raps on may plus which has been around for a little over a year now may not be considered a streaming behemoth yet but it looks like some of its original content is attracting more subscribers which will likely increase following its expansion to the uk and ireland in june at the same time paramount plus notes its subscriber count is on the rise netflix lost a small fraction of its over million subscribers last quarter its first subscriber decline in over years netflix hopes to make up for that loss by potentially cracking down on password sharing and rolling out a cheaper adsupported option paramount plus already offers a fairly affordable adsupported month plan or a month adfree option,en,160,Positive
theverge,2022/05/04,https://www.theverge.com/2022/5/3/23056053/amazon-warehouse-union-organization-drives-latest-news,The fight to unionize Amazon’s warehouses,amazon one of the united states largest employers and a mainstay of americans shopping habits has long resisted unionization efforts such as union drives in and in recent years though the calls for unionization have grown louder and more public and an upstart union was even able to win an election at one of the companys facilities in new yorkthe recent string of elections started in bessemer alabama when the retail wholesale and department store union attempted to organize amazons facility which had around workers at the time in the workers voted resoundingly against unionizing but the union successfully petitioned the national labor relations board for a redo claiming that amazon had interfered by installing a mailbox at its own facility the second election saw lower turnout but much closer results though the large number of contested ballots left the results hanging in the balanceelsewhere the amazon labor union an organization made up of former and current amazon workers thats not affiliated with a larger union has made attempts to organize multiple warehouses in staten island new york it ended up securing union votes at two facilities and on april workers at voted to organize with the alu making their warehouse the first amazon facility to unionize about a month later workers at the nextdoor facility voted against unionizingthroughout all of this amazon has faced accusations of union busting and other attempts to interfere with the electoral process some of which have been bizarre it allegedly manipulated traffic patterns in alabama for its part the company has accused the unions and the national labor relations board of doing the same but with at least one warehouse unionized it seems certain there will be other attempts to organize and you can keep up with the latest on those efforts in this storystream,en,169,Positive
